5808026
/m/0f648_
/m/0f648_
Ann Brashares

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 18
about 4
accident 3
advises 1
afraid 1
after 2
afterwards 1
again 1
all 2
allow 1
also 4
although 1
always 3
amiche 1
an 3
and 48
anger 1
annik 1
announces 1
anymore 1
apple 1
are 1
art 2
as 7
aside 1
asks 2
asleep 1
assumes 1
at 4
attempts 1
attend 2
attention 2
avoid 1
avoiding 1
away 1
baby 3
be 4
because 2
become 2
becomes 1
been 1
before 1
began 1
begin 2
begins 3
being 1
believing 1
betrayed 1
between 2
blaming 1
born 1
boy 1
brave 2
break 2
brian 4
bridget 9
bridgets 1
but 8
by 3
cabin 2
calls 1
camp 2
can 1
care 1
carmen 12
carmens 1
carries 1
caught 1
causing 1
challenging 1
championship 1
chances 1
changing 1
choose 1
christina 4
class 5
clear 1
closer 1
coaches 1
college 6
comes 3
complains 1
concerned 1
confront 1
confused 1
constantly 2
convince 1
convinced 1
couple 1
cranky 1
date 1
david 1
day 1
death 2
decides 3
decision 1
defeat 1
delivers 1
delle 1
depression 1
design 1
despite 2
develop 2
di 1
didnt 1
different 3
discover 1
discovery 1
do 1
down 2
drawing 2
drawings 2
due 1
e 1
each 1
early 1
effie 1
encourages 1
end 3
ends 1
enlists 1
enough 2
entering 1
eric 13
erics 2
even 1
ever 1
fall 1
falls 1
family 4
father 7
fear 1
fears 1
feel 2
feeling 2
feelings 6
feels 3
fellow 1
fever 1
figure 1
finally 1
find 3
finds 3
first 2
following 2
for 15
forbids 1
forced 1
four 1
friend 1
friendship 1
from 3
fund 1
get 1
gets 1
girlfriend 2
girls 1
go 5
goes 3
good 2
gotten 1
grandfather 1
grandmother 2
greece 1
guilty 1
had 1
hadnt 1
hand 2
happened 1
hard 1
has 3
have 3
having 1
he 16
head 1
heads 1
helps 1
her 53
herself 6
him 9
his 10
hold 1
holding 1
home 3
homesick 1
hope 1
hospital 3
however 1
husband 3
identities 1
if 3
ignoring 1
ill 1
in 9
indicates 1
injures 1
instead 3
instructor 1
interest 1
into 3
is 19
island 1
it 5
itil 1
jeans 1
job 1
just 1
katherine 4
kaya 2
kind 1
kiss 1
kisses 1
know 1
labor 2
last 1
later 2
learns 1
leave 3
leaves 1
leaving 3
left 2
lena 15
lenas 1
lets 1
life 2
likes 1
love 2
loves 1
made 1
mails 1
makes 2
making 1
manages 1
marchand 1
maryland 1
meant 1
meets 1
misery 1
model 1
more 2
morning 1
mother 4
mothers 1
move 2
much 1
names 1
new 1
next 1
none 1
not 3
novel 1
nude 1
of 19
off 1
old 1
on 2
once 1
one 4
only 2
opening 1
other 2
otherwise 1
out 4
over 1
paio 1
parents 1
part 2
partner 1
partners 1
party 1
paul 1
pay 2
pennsylvania 1
permission 1
person 2
place 1
plan 1
plans 1
portfolio 2
posing 1
practical 1
pregnancy 1
presence 1
prided 1
puts 1
quattro 1
questions 1
quietly 1
reached 1
realizes 1
really 1
reason 1
reawakening 1
receives 2
relationship 3
relationships 1
relents 1
resented 1
respecting 1
restrains 1
result 1
retain 1
return 2
returned 1
returns 1
reveals 1
rhode 1
rodman 1
romantic 1
ryan 1
sad 1
same 1
sawyer 2
scelte 1
scholarship 2
school 3
see 1
sees 1
selfless 2
selflessly 1
senior 1
she 28
shocked 2
shot 1
shying 1
siblings 1
side 1
simply 1
since 1
sister 1
situations 1
so 1
soccer 2
solace 1
someone 1
soon 1
states 1
stay 3
stressed 1
struggle 2
student 1
stunned 1
suffering 1
sullen 1
summer 3
takes 1
taking 4
team 1
telling 1
tells 3
tempo 1
tense 1
than 1
that 21
the 36
their 2
them 2
themselves 1
then 2
there 1
they 8
thinking 1
thinks 1
this 3
though 1
through 1
thrown 1
tibby 6
to 50
together 3
towards 1
town 1
trains 1
tries 2
truth 1
try 1
two 1
un 1
unable 1
uncertainties 1
unfamiliar 1
united 1
university 2
unknown 1
unwilling 1
up 5
upset 1
valia 5
very 2
visiting 1
volunteers 1
wake 1
wakes 1
wanting 1
was 1
watching 1
weeks 1
well 1
went 1
were 1
when 4
where 1
which 1
while 2
who 6
why 1
will 5
williams 2
win 3
window 2
wishes 3
with 10
without 1
wondering 1
wont 1
word 1
world 1
worries 1
wouldnt 1
york 1
younger 1
