21174603
/m/05c2368
/m/05c2368
Janet Fitch
2006
a 8
about 1
alive 1
all 1
and 10
angeles 1
are 2
art 2
as 3
asking 1
asks 1
at 1
attracted 1
beauty 1
betrayal 1
black 1
blind 1
body 1
both 1
bright 1
brilliant 1
brink 1
but 1
by 2
call 1
chance 1
coroner 1
county 1
cover 1
dead 1
death 1
denizen 1
destruction 1
discover 1
distrust 1
drawn 1
dream 1
dreamed 1
dreamer 1
dreams 1
dropout 1
equal 1
everyday 1
existed 1
experience 1
faraday 1
feverpitch 1
fiercely 1
fights 1
finds 1
fitch 1
for 3
from 2
future 1
gone 1
grief 1
had 1
hallmarks 1
happens 1
harvard 1
has 1
he 1
her 7
his 1
hold 1
holds 1
identify 1
inside 1
intensity 1
into 1
introduces 1
is 4
janet 1
joined 1
josie 5
key 1
la 1
left 1
los 1
love 2
lover 1
luxurious 1
meredith 1
michael 5
model 1
mother 1
need 1
never 1
new 1
novel 1
nurtured 1
of 7
on 1
once 1
own 1
parts 1
passionate 1
pianist 2
possibility 1
prose 1
quest 1
question 1
real 1
receives 1
reflects 1
relationship 1
renowned 1
repelled 1
responsible 1
rock 1
runaway 1
scene 1
searches 1
shared 1
she 7
shines 1
son 2
soon 1
sophistication 1
spellbinding 1
spiritual 1
struggles 1
student 1
teen 1
that 3
the 13
their 1
this 1
through 1
to 10
together 1
torment 1
transcendence 1
true 1
turn 1
twisted 1
two 1
tyrell 2
understanding 1
vision 1
walks 1
what 2
when 3
who 1
with 2
women 1
world 2
wounded 1
written 1
