1751695
/m/05t425
/m/05t425
William Styron
1967
a 3
account 2
accurately 1
alleged 1
ambitious 1
an 1
and 2
as 1
attempts 1
authoritatively 1
based 1
be 1
been 1
character 1
charged 1
claims 1
confession 1
confessions 3
consider 1
describe 1
destroy 1
divinely 1
document 1
does 1
events 1
extant 1
fabrication 1
from 1
god 1
gray 3
has 1
have 1
his 1
historians 1
historical 2
if 1
imagine 1
in 1
inspired 1
is 4
it 1
itself 1
largely 1
lawyer 1
lead 1
liberties 1
life 1
mission 1
nat 2
not 2
novel 2
occurred 1
of 3
on 1
one 1
or 1
otherwise 1
prejudice 1
purport 1
race 1
recently 1
slave 1
some 1
styron 2
sympathetic 1
takes 1
that 1
the 9
they 1
thomas 1
thoughts 1
to 8
told 1
turner 6
undocumented 1
uprising 1
white 2
whose 1
with 3
writer 1
