212103
/m/01f2l3
/m/01f2l3
Kevin Elyot

1 1
18 1
2 1
3 1
a 9
about 2
absent 1
affair 1
after 4
again 1
aids 1
all 4
an 2
and 6
apartment 1
are 1
as 2
at 4
back 2
background 1
be 1
because 2
been 2
being 1
benny 2
bequeaths 1
bernie 2
betraying 1
book 1
but 3
by 1
can 1
circle 1
come 1
comes 1
companion 1
confess 1
confide 1
conspicuously 1
contracted 1
cookery 1
course 1
crush 1
crying 1
daniel 4
dared 1
dating 1
days 2
decorate 1
die 1
dishes 1
does 2
during 2
dying 1
eric 1
even 2
eventually 1
ever 1
every 1
fact 1
faithful 1
fancies 1
finds 1
flat 3
flatwarming 2
fling 1
for 3
forces 1
friend 1
from 4
funeral 2
gay 3
get 1
gives 1
group 1
guy 11
had 3
happened 1
hard 1
has 7
have 3
having 1
he 15
hear 1
helps 1
him 5
himself 4
himthe 1
his 10
hiv 2
hold 1
holiday 3
hurts 1
in 8
infected 1
intervals 1
ironically 2
irregular 1
is 11
island 1
it 7
john 6
just 1
kinds 1
lanzarote 2
last 1
later 1
life 2
lives 1
london 1
lonely 1
longterm 1
looked 1
looking 1
love 1
man 3
mdash 2
meet 1
meets 2
memorabilia 1
might 1
most 3
mutual 1
need 1
never 1
new 2
next 1
not 4
occasional 1
occasionally 1
of 9
often 1
on 4
one 3
only 2
panics 1
partner 2
party 3
phone 1
place 1
play 1
popular 1
present 1
pub 1
quite 1
raped 1
rather 1
reg 10
relationship 1
rich 1
room 1
scene 3
scenes 1
secret 1
seemingly 1
seems 3
set 1
sex 4
shocked 1
since 1
sitting 1
sleeping 1
solitary 1
some 1
somewhere 1
specialising 1
spices 1
start 1
still 1
student 1
suspects 1
tell 1
that 2
the 13
their 4
them 1
then 1
they 1
thing 1
thinks 1
thirties 1
three 1
thus 1
to 11
unfaithful 1
university 1
unprotected 1
up 1
vicar 1
visit 1
was 1
what 1
when 3
where 1
which 1
who 7
whom 1
with 10
yearold 1
years 1
