143836
/m/01262n
/m/01262n
Edgar Allan Poe
1841-04
{"/m/06n90": "Science Fiction"}
a 11
abandoned 1
ago 1
am 1
an 1
and 5
any 1
appears 1
around 1
as 2
at 2
awesome 1
barrel 1
beautiful 1
believe 1
beyond 1
black 1
bodies 1
brother 2
brothers 1
but 1
by 5
came 1
caught 1
change 1
climb 1
convinced 1
couched 1
creation 1
cylindrical 1
day 1
deduced 1
descent 1
driven 2
drowned 1
ever 1
fastest 1
few 1
first 1
fishing 1
from 1
hairs 1
he 7
heavens 1
held 1
hideous 1
him 1
his 2
hope 1
horror 1
hours 1
how 1
hurricane 1
i 1
in 6
inspired 1
into 2
is 4
it 4
jetty 1
larger 1
later 1
less 1
limbs 1
lofoten 1
mad 1
maelstrm 1
man 4
me 1
moment 1
more 1
moskstraumen 1
most 1
mountain 1
my 2
narrator 4
nerves 1
norway 1
not 1
objects 2
observing 1
ocean 1
of 6
old 4
oldyou 1
on 1
one 1
only 2
other 1
out 1
power 1
pulled 4
rapid 1
reveals 1
revelation 1
saved 1
saw 2
says 1
sees 1
several 1
ship 3
single 1
spectacle 2
sphericalshaped 1
story 4
summit 1
suppose 1
tale 1
tells 1
terrible 1
terror 1
than 1
that 6
the 27
their 2
then 1
these 1
to 6
told 3
took 1
trip 1
two 1
under 1
unlike 1
unstring 1
until 1
very 1
vortex 1
was 5
waves 1
weaken 1
were 2
whirlpools 1
white 1
who 1
will 1
with 1
within 1
without 1
years 1
