8778014
/m/027jdkv
/m/027jdkv
Ted Dekker
2006
a 11
abilities 1
able 3
aborts 1
about 3
abraham 2
accomplishes 1
advisor 1
after 3
against 2
ago 1
air 1
all 1
almost 1
also 1
always 1
an 2
and 19
anguish 1
another 2
are 4
arrive 1
asks 1
assassin 1
assassinate 2
assassinations 1
assigned 1
assim 3
attack 1
back 3
banished 1
barely 1
battle 1
be 3
because 1
been 3
before 2
begins 1
believing 1
bit 1
blind 1
book 1
books 1
born 1
boulders 1
bring 1
bullet 1
but 4
by 2
called 1
can 1
cant 1
carl 12
carljohnny 1
ceasing 1
change 1
city 1
co 1
colorado 1
complete 1
consisting 1
control 3
countries 1
course 1
crisis 1
david 6
day 1
days 1
deal 1
decide 2
defeat 1
defense 2
demon 1
desert 1
despite 1
directing 1
disarmed 1
does 1
doing 1
drake 1
elite 1
eluding 1
ends 1
englishman 6
escape 1
exercises 1
exist 1
explain 1
explained 1
extent 1
faith 1
father 1
feroz 3
few 1
fifteen 1
final 1
finally 1
find 1
first 1
flesh 1
float 1
fly 1
for 2
found 1
freed 1
from 2
games 1
go 3
goes 1
going 3
great 1
group 5
had 2
happened 1
has 4
he 18
heads 1
hell 1
hesitation 1
high 1
him 5
himself 2
his 17
history 1
hit 1
holds 1
hostage 1
however 1
hunting 1
identity 2
if 2
in 8
inducted 1
infiltrate 1
informed 2
informs 1
intense 1
into 2
introduced 2
iranian 2
is 16
isnt 1
israel 1
it 3
jamie 1
johnny 12
just 1
kelly 8
kill 2
know 1
leaving 1
losing 1
makes 1
making 1
man 2
meanwhile 1
meet 1
meets 3
member 1
mental 1
merely 1
message 1
mind 1
minister 2
miss 1
mission 4
mock 1
more 2
mother 1
must 1
name 1
named 2
nevada 1
new 3
next 1
normal 1
not 1
now 1
objects 1
of 15
once 1
only 1
opinion 1
organs 1
original 1
other 2
out 1
own 2
paradise 5
past 1
peace 1
piece 1
power 1
president 7
project 2
pull 1
pulls 1
pushing 1
quickly 1
ranch 1
ready 2
real 1
realizes 1
received 1
regain 1
regard 1
remains 1
right 1
rival 1
robert 2
role 1
same 1
samuel 5
scouting 1
screaming 1
second 1
see 1
seeming 1
seems 1
sees 1
sent 1
series 1
set 1
setting 1
shoots 1
shot 1
showdown 3
skeptical 1
somehow 1
son 2
spiritual 1
states 2
stenton 1
stripped 2
strople 1
supposed 1
taken 1
talent 1
telekinetically 2
tells 2
than 1
that 8
the 34
them 1
then 3
there 2
they 4
this 3
through 2
time 1
to 34
together 1
training 1
travels 1
treaty 1
trigger 2
true 2
underground 1
undoing 1
united 2
unusual 1
up 2
vision 1
vital 1
was 6
we 2
weapons 1
what 1
when 3
which 2
while 1
who 2
why 1
wife 1
will 1
with 5
without 1
would 1
wound 1
x 4
years 1
york 2
