9225446
/m/0280wcp
/m/0280wcp
Margery Allingham
1945
a 4
alarming 1
albert 1
also 1
and 2
appear 1
aristocratic 1
art 1
at 1
bath 1
bear 1
bearing 1
bottles 1
bring 1
but 2
by 1
campion 3
carrying 1
case 1
clue 1
corpse 1
detection 1
disappearance 1
discovers 1
first 1
flat 1
forced 1
from 1
get 1
he 1
his 4
in 2
involved 1
is 3
just 1
lady 1
lugg 1
magersfontein 1
mission 1
murdered 1
mystery 2
not 1
of 6
on 2
only 1
overseas 1
powers 1
rare 1
relaxing 1
returned 1
secret 1
servant 1
solve 1
some 1
the 7
to 5
tracing 1
treasures 1
two 1
unmistakably 1
unwilling 1
very 1
wellknown 1
when 1
wine 1
woman 2
years 1
