4918085
/m/0cv3vg
/m/0cv3vg
Lincoln Child
2005
28 1
a 5
about 1
act 1
agenda 1
agent 1
alive 2
aloysius 1
and 4
at 1
back 1
be 2
been 1
behind 1
book 1
brick 1
brimstone 1
brother 3
buried 1
but 1
by 2
cannot 1
carry 1
castel 1
constance 1
crime 1
dagosta 4
dark 1
date 2
diogenes 6
does 2
end 1
estranged 1
fact 1
family 1
fbi 1
first 1
follows 1
for 1
fosco 1
greatest 1
greene 1
has 1
hated 1
hating 1
having 1
he 2
health 1
him 2
his 6
however 1
important 1
in 4
is 2
january 1
kindness 1
know 2
last 1
letter 2
lieutenant 1
many 1
meeting 1
months 1
needs 1
nefarious 1
not 2
novel 1
nurses 1
obviously 1
of 4
one 1
order 1
out 1
pendergast 5
plans 1
presence 1
presumes 1
previously 1
requests 1
rescues 1
seen 1
shown 1
sidekick 1
special 1
that 2
the 5
thinga 1
this 2
to 2
true 1
trusted 1
very 1
vincent 2
wall 1
ward 1
was 2
where 1
whereabouts 1
will 1
writes 1
written 1
