5640170
/m/0dxqts
/m/0dxqts
Glen Cook
1994-03
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
actually 2
again 1
all 1
also 1
and 7
as 7
asleep 1
at 1
attacked 1
away 1
battered 1
be 5
bites 1
bledsoe 1
bruised 1
buried 1
business 1
but 2
by 2
capture 1
careful 1
charges 1
choice 1
city 1
cleaver 2
climb 1
company 1
continues 1
could 1
daughter 2
dead 1
dean 1
dies 1
disappeared 1
discover 1
discovers 1
down 1
drops 1
emerald 1
escapes 1
even 1
everyone 1
everything 1
fact 1
find 3
finds 1
fine 1
for 3
found 1
fray 1
free 1
garrett 13
get 2
gets 4
goddamn 1
goes 1
going 1
grange 2
has 3
he 3
her 1
him 1
himself 1
hires 1
his 1
in 5
into 1
investigating 1
involved 3
is 3
jenn 2
job 1
just 1
knocked 1
known 2
leaving 1
left 1
long 1
maggie 4
man 2
manages 1
may 1
meanwhile 2
mental 1
missing 1
more 2
morley 2
mull 1
name 1
nasty 1
new 1
no 1
not 1
novelending 1
nowhere 1
of 4
off 1
only 2
out 4
outfit 1
over 1
parrot 1
parties 1
plot 1
possibilities 1
put 1
quite 1
rainmaker 6
reputation 1
search 1
seems 1
settle 1
she 1
something 1
still 1
street 1
that 3
the 16
there 1
things 1
thrown 1
to 10
town 1
treasure 1
tries 1
try 1
twist 1
typical 1
until 1
urges 1
usual 1
ward 1
watch 1
well 1
when 4
who 1
winger 1
wishing 1
with 2
woman 2
word 1
