595372
/m/02tn73
/m/02tn73
Piers Anthony
1969
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
10 1
150 1
15000 1
a 31
abandoned 1
ability 2
able 5
accelerate 1
across 1
advanced 1
affected 1
afra 10
after 1
age 1
alien 1
all 2
allow 1
allowing 2
along 1
also 1
altered 1
alternate 1
among 1
an 9
and 25
another 1
any 1
appearance 1
appears 1
archer 1
are 7
armed 1
arrived 1
as 3
ask 1
aspects 1
at 3
attempt 3
attempts 1
avoid 2
basic 1
be 5
beatryx 1
been 2
before 1
being 7
believes 1
between 1
block 2
blocking 2
blocks 1
bodies 1
body 4
book 1
brad 7
brain 3
break 1
briefly 1
brings 1
broadcast 3
broadcasting 1
broadcasts 1
broke 1
build 1
built 1
but 2
by 6
call 1
camp 1
can 2
capacity 1
carpenter 1
cause 1
causes 1
central 1
character 1
characters 1
chase 1
chemistry 1
child 1
childhood 1
civilization 1
civilizations 1
clarity 1
clear 1
come 1
comes 1
command 1
communications 3
complete 1
complex 1
comprehend 1
concludes 1
constructed 1
construction 1
control 3
convert 1
convinced 1
could 2
countless 1
created 2
creation 1
cryptic 1
crystal 1
cultural 1
cure 2
death 2
decide 1
decides 1
decline 1
deliberate 1
demonstrates 1
describes 1
destroyed 1
destroyer 9
detach 1
device 3
did 1
die 1
different 1
discovered 1
discoveries 1
discovers 1
down 1
drama 2
drawn 1
during 4
earth 4
effects 1
effort 1
emerging 1
end 1
engineer 1
enormous 1
enough 3
entire 2
escape 2
escapes 1
essentially 1
events 1
eventually 1
ever 1
evermore 1
exceptional 1
experience 1
experimentation 1
explore 1
exploring 1
fails 1
falls 1
farther 1
find 1
finding 1
finds 2
first 2
five 1
flourishing 1
fly 1
focus 2
following 1
for 7
formerly 1
forth 1
friend 1
frightening 1
from 10
further 1
g 1
galaxy 2
game 4
generating 1
gets 2
girl 1
girlfriend 1
give 1
given 1
go 1
group 4
had 1
hands 1
harold 3
has 5
have 1
having 2
he 2
heart 1
help 2
her 1
here 2
hidden 1
high 1
him 3
himself 1
his 6
historical 2
history 2
hopelessly 1
hoping 1
however 1
human 1
hunt 1
hyperintelligent 1
ice 1
ideal 1
if 1
ii 1
illusion 1
implications 1
in 19
inadvertently 1
individually 1
infinite 1
information 3
inner 1
insane 1
instead 1
instructions 2
intellectual 1
intelligence 4
intelligent 3
interfere 1
interstellar 4
interval 1
into 5
invitation 1
iq 1
is 19
it 8
its 1
itself 1
ivo 22
jam 1
keeping 1
killed 1
large 3
largely 1
late 1
lead 1
left 2
level 1
life 1
light 2
like 1
link 1
liquefaction 1
liquid 2
location 1
look 1
losing 1
love 2
macron 1
macrons 2
macroscope 10
macroscopic 1
makes 2
many 3
math 1
mature 1
may 1
member 1
members 1
message 1
midst 1
misunderstanding 1
months 1
morals 1
most 1
murdering 1
museum 1
must 1
mysterious 1
nations 1
nature 1
neither 1
neptune 2
never 1
new 1
newly 1
not 5
now 4
number 1
numerous 2
observers 1
of 38
off 2
offensive 1
on 8
one 5
only 4
or 3
orbiting 1
order 2
original 2
ostensibly 1
other 3
others 1
out 2
over 4
overriding 1
overwhelmed 1
overwhelms 1
own 2
owner 1
parallels 2
particle 1
peers 1
people 1
personality 3
pinned 1
planets 1
played 1
playing 1
plays 1
plot 1
point 1
portions 2
power 1
powerful 1
prevent 1
problem 1
producing 1
progressing 1
project 1
protagonist 1
pursuing 1
race 2
races 3
reach 1
reached 1
reader 1
ready 1
real 1
reason 1
reasserts 1
reconstituted 1
records 1
reduced 1
reducing 1
refer 1
relatively 1
reluctance 1
reluctant 1
repeats 1
required 1
resolution 1
result 2
retribution 1
reveal 1
revealing 1
reveals 1
room 1
rules 2
running 1
schn 16
scientists 1
see 1
sees 1
select 1
senator 2
series 2
set 2
ship 1
ships 2
shocking 1
shown 1
signal 14
signals 5
similar 1
simply 1
situation 1
six 2
so 2
societal 1
solarorbiting 1
solved 1
some 1
somewhat 1
sophistication 1
source 1
space 7
spaceship 1
sparks 1
stakes 1
starting 1
state 3
station 7
stealing 1
still 2
story 2
strength 1
subject 2
such 1
suite 1
summerfield 1
surgery 1
surgical 1
survives 1
surviving 1
system 1
take 2
taken 2
talented 1
technique 3
technologies 1
telescope 1
that 10
the 98
their 3
them 4
these 2
they 10
this 6
those 2
though 1
time 4
to 45
tolerate 1
took 1
traps 1
travel 4
traveller 3
travelling 1
tricks 1
triton 1
turn 1
turns 1
two 3
type 2
unaffected 1
understand 2
understood 1
unexplained 1
united 1
until 1
up 2
used 1
uses 1
using 3
vegetative 1
via 2
view 2
viewers 1
viewing 1
visions 2
visit 1
visiting 1
wars 1
was 2
watches 1
way 1
were 1
what 1
where 2
whether 1
which 4
while 3
who 2
whom 1
winner 1
wins 1
with 18
within 1
without 2
worrying 1
years 1
yet 1
