19164626
/m/04lgs46
/m/04lgs46
Andy Griffiths
2008-04-01
34but 1
34dig 1
34super 1
a 30
about 2
actually 1
again 1
all 3
although 1
an 1
and 25
angry 1
annoying 1
annoys 1
another 2
anyway 1
archaeological 1
are 2
arguing 1
around 1
as 4
asks 1
at 3
attack 1
attempts 1
back 1
balls 1
be 3
because 1
been 1
before 1
bended 1
bits 1
blackeye 1
blames 1
bloodied 1
blow 1
boat 1
book 3
borrow 1
bottom 1
box 3
boy 1
brainfright 2
brainfright3s 1
brother 1
buried 1
but 4
by 3
cabbage 3
calls 1
can 1
card 1
caught 1
charged 1
chest 1
chewed 1
claim 1
class 3
clive 5
conclude 1
conduct 1
cross 6
cross3 1
day 1
desire 1
detector 1
detector34 1
dig 2
discovers 1
do 1
does 1
doom 1
doublecrosses 1
dream 1
dream34 1
each 1
eat 2
ending 1
even 1
exist 1
expecting 1
fake 1
falls 1
fight 1
find 3
finds 1
fired 1
foot 2
football 1
for 2
found 3
fred 7
friends 3
from 1
full 1
gadget 1
get 2
gets 4
giving 1
go 1
goat 3
gossip 1
grab 1
grant 2
greenbeard 3
greenbeard3s 1
gretel 1
had 3
happens 1
happy 1
has 2
have 1
he 16
help 3
henry 9
henry3s 1
hill 1
him 9
his 5
hold 1
hole 1
if 2
in 3
indeed 2
initials 1
inside 1
instead 1
into 2
is 4
island 1
it 13
it3s 1
item 1
jack 1
jackhammer 1
japes 1
just 2
key 2
knees 1
leaves 2
left 1
lengths 1
line 2
lollipop 3
machine 1
man 3
manages 1
map 1
marble 1
married 1
match 1
mcthrottle 1
me 1
metal 1
metaldetecting 1
model 1
mr 3
mrs 5
much 1
name 1
named 2
needs 3
newton3s 1
next 1
night34 1
nights 2
no 1
northwest 1
not 1
note 1
object 1
of 12
offers 1
office 3
on 1
one 4
only 3
opens 1
or 1
other 1
out 6
outsmart 1
over 2
paper 1
passed 1
passing 1
patch 1
pencil 3
picks 1
pirate 1
pirates 1
pistol 1
plastic 1
pop 1
principal 1
principal3s 1
problem 1
providing 1
rabbit3s 1
race 1
reads 1
realisticlooking 1
recess 1
reference 2
request 1
result 1
reveal 1
revealing 1
riches 2
right 1
ring 1
river 2
rock 1
saw 2
school 1
search 2
seas 1
see 1
sent 1
shark3s 1
she 3
shoots 1
skull 1
snatches 1
so 1
solve 1
some 1
southeast 1
spit 1
spitballs 1
started 1
starts 1
stolen 1
stops 1
stories 1
story 1
student 1
take 1
takes 2
talking 1
teachers 1
tells 2
th 1
that 13
the 47
thechest 1
them 1
then 1
there 2
they 2
things 3
this 1
though 1
thousand 2
through 1
time 1
to 27
tooth 1
top 1
treasure 6
trips 1
try 1
trying 1
turns 1
two 1
understands 1
unfortunately 2
until 1
up 5
upon 1
used 1
uses 1
was 6
watch 1
water 1
what 3
when 1
where 1
which 1
while 1
who 1
whoever 1
why 2
will 4
winning 1
with 4
wolf 3
work 4
worst 1
would 1
yet 1
you 2
your 2
yoyo 1
