21311641
/m/05f3wwg
/m/05f3wwg
Roderick Gordon
2008-05-05
{"/m/07fwvc": "Subterranean fiction", "/m/06n90": "Science Fiction", "/m/08g5mv": "Lost World"}
1 1
2 1
3 1
4 1
5 1
a 52
able 1
abnormal 1
about 1
accepted 1
accidentally 1
acquainted 1
across 3
act 1
acting 1
actually 1
admiralty 1
adopts 1
advancing 1
after 3
again 2
alive 2
all 3
allegedly 1
allow 1
allowing 1
already 1
also 5
alternative 1
alternatively 1
ambush 1
ambushed 1
amount 1
an 6
and 58
angry 1
anomalocaris 1
answer 1
any 1
anywhere 1
appears 3
approach 1
arch 1
are 15
area 2
arson 1
as 14
asks 2
assures 1
at 7
attached 1
attacked 2
attitude 1
authority 1
badly 1
ball 1
bartelby 1
bartleby 5
baskets 1
bats 1
be 6
because 5
become 1
becomes 4
been 8
before 4
behavior 1
behind 1
being 2
believe 2
believes 1
beside 1
betrayed 1
biological 1
bird 1
blew 1
blown 1
boiled 1
boiledegg 3
bond 1
book 2
both 1
boy 2
boys 5
breaking 1
breathing 1
breed 1
bridge 1
brother 4
built 2
bunker 3
burned 1
burrows 11
bury 1
bus 1
but 4
by 15
cal 14
called 5
camp 2
can 1
capable 1
captured 1
captures 1
carnivorous 1
case 1
catastrophes 1
cause 1
cavern 2
cease 1
chamber 1
cheering 1
chester 11
chewing 1
children 1
city 1
civilization 1
claiming 1
clear 1
close 1
clouds 1
collapses 1
collects 1
colonist 1
colonists 1
colony 1
come 4
comes 2
completely 1
comply 1
concealed 1
concerned 2
continue 1
continuing 1
coprolites 4
coughing 1
cover 1
crab 1
created 1
currently 1
dawn 1
days 3
dead 1
deadly 1
death 3
deaths 1
decides 1
decimate 1
deeper 1
deeps 5
delighted 1
demands 1
demise 1
deprived 1
deranged 1
deserted 1
detachment 1
detection 1
dials 1
did 1
didnt 1
dies 1
discover 2
discovers 2
disguise 1
dismounting 1
distinguished 1
division 1
do 1
dominion 2
doves 2
down 4
dr 5
drake 9
draws 1
dust 1
each 1
earth 2
edge 1
eggs 1
elliott 14
emerges 2
ends 2
england 2
enters 1
escape 1
escaped 1
escorted 1
eternal 1
even 1
eventually 2
everything 1
evidence 1
exact 2
except 1
execution 1
experiment 1
explain 1
extracted 1
eyes 1
fact 1
fake 1
fallen 1
falls 1
fear 1
feared 1
fell 1
few 1
filled 2
final 1
finally 2
find 1
fine 1
fire 2
five 1
flee 2
floor 1
fly 3
follow 1
food 2
foot 1
for 14
forced 2
forcing 2
form 1
from 8
full 1
further 2
garrison 2
gates 1
gentle 1
getting 1
given 1
going 1
grandma 2
great 2
grief 2
grouchy 1
group 2
gum 2
guns 1
gunshot 1
had 1
hailed 1
hard 1
has 7
have 3
having 2
havoc 1
he 17
headlong 1
heavy 1
hence 1
her 20
here 1
hero 1
hers 1
hiding 1
him 8
himself 1
his 6
hoard 1
hole 2
home 2
homecoming 1
hostile 1
house 3
however 2
huge 2
humphrey 1
hunter 1
identified 1
identifies 1
if 1
important 1
in 15
increased 1
increasingly 1
initial 1
injured 1
inside 1
insistence 1
intend 1
interview 1
into 8
introduce 1
is 42
island 2
isnt 1
it 9
its 1
jerome 3
joseph 1
judgment 1
jump 1
keep 1
keeping 1
kill 4
killed 3
killing 2
knives 1
knows 1
l 1
lab 1
laboratory 1
large 2
last 1
later 2
lava 2
leads 1
leave 2
leaves 1
left 2
leg 1
letter 1
light 1
likes 1
limiters 5
lives 1
living 1
location 2
long 3
looking 1
lost 1
love 1
low 1
macaulay 2
maintains 1
make 2
man 5
manage 1
may 1
meal 1
meanwhile 2
melted 1
met 1
metal 1
might 1
milelong 1
military 1
miners 3
misery 1
mites 1
most 2
mother 2
moved 1
mrs 7
much 2
named 1
namely 1
news 1
nickname 1
night 1
no 2
nondeadly 1
not 3
notebook 1
now 2
objects 1
observes 1
observing 1
of 29
old 2
on 12
once 2
one 4
only 1
open 1
opening 1
opens 1
opposite 1
or 1
order 2
organisms 2
others 1
out 2
outside 1
over 2
overjoyed 1
overlooking 1
own 1
packs 1
part 6
passes 2
patrol 1
people 1
perished 1
persuaded 1
persuades 1
phone 1
piece 1
pipelike 1
place 4
plain 2
plan 1
played 1
plot 1
population 1
pore 4
posing 1
presence 1
presume 1
proportion 1
provisions 1
put 2
quickly 1
reading 1
realizes 2
rebecca 8
recognised 1
release 1
relic 1
remaining 1
remote 1
renegades 1
researches 1
residing 1
responsible 1
rests 1
result 1
resuscitated 1
return 2
reunited 2
reveal 1
reveals 1
revenge 2
revisit 1
rooftop 1
rookeries 2
rot 1
running 1
rural 1
rush 1
sadly 1
safe 1
safer 1
same 1
sarah 12
save 1
scientists 2
scout 1
sea 1
search 1
section 1
see 1
separated 1
series 1
sermons 1
several 2
shared 1
she 16
shelter 1
shoots 1
shortly 1
show 1
shown 2
sister 1
skinnier 1
slow 1
small 2
so 1
some 1
son 2
soon 4
speaks 1
special 1
species 1
spread 1
squad 1
square 1
states 1
station 2
stays 1
steadily 1
stepfather 1
still 1
storm 1
story 1
strange 2
stranger 1
strangers 1
strength 1
stretches 1
strong 1
structure 1
struggles 1
stumbles 1
styx 16
subjected 1
subterranean 1
sugar 1
sun 2
supplies 1
sure 1
surface 1
swollen 1
symptoms 1
take 3
taken 1
takes 5
tam 6
telling 1
tells 3
templelike 1
test 1
that 23
the 94
their 5
them 10
themselves 1
then 6
there 5
thereafter 1
these 2
they 21
thinks 1
this 2
three 1
throats 1
through 4
times 1
to 50
told 1
too 1
topsoil 4
topsoilers 1
tortured 1
touches 1
towards 1
track 1
trafalgar 1
train 3
training 1
trap 1
travel 1
travels 1
tubes 2
tunnel 1
turn 1
turns 1
twins 4
two 3
unidentified 1
unwraps 1
up 3
upon 1
use 1
used 2
vengeance 1
very 2
virus 5
visited 1
voice 1
waits 1
wants 1
was 6
way 3
weaker 1
wetlands 1
what 1
when 7
where 7
which 9
while 1
who 9
will 30
with 17
without 1
witness 1
witnesses 1
woman 2
working 1
worse 1
worships 1
would 2
wounds 1
wreaking 1
younger 2
