16518434
/m/03y93l8
/m/03y93l8
Linda Woolverton
1987
{"/m/03mfnf": "Young adult literature"}
a 4
afraid 1
all 1
and 3
anger 2
anything 2
at 2
away 1
be 1
blunt 1
but 2
can 1
change 1
could 1
dashes 1
day 1
days 1
do 1
fact 1
father 3
fear 1
feels 1
few 1
filled 1
for 3
forget 1
freed 1
frightening 1
from 2
he 1
her 6
high 1
his 1
hopes 1
how 1
hurts 1
in 4
invited 1
is 6
it 1
join 1
junior 1
just 1
keep 1
kelly 6
knows 1
lash 1
least 1
lets 1
life 1
like 1
little 1
lives 1
miles 1
mind 1
miracously 1
mother 1
much 1
nice 1
no 1
nothing 1
now 1
of 3
out 1
own 1
pain 1
peace 1
pretend 1
rage 1
refuses 1
running 2
say 1
saying 1
she 5
sister 1
suddenly 1
team 1
that 1
the 4
then 2
there 1
thirteenyearold 1
to 4
track 1
trapped 1
unpredictable 1
violence 2
when 1
while 1
will 1
with 2
wrong 1
