664303
/m/030ywn
/m/030ywn
Daniel Handler
2004-09-21
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/06www": "Steampunk", "/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction"}
a 21
about 2
accomplices 1
administered 1
affected 1
afraid 1
after 1
again 2
agrees 1
all 5
allows 1
along 1
also 4
an 4
and 28
announces 1
antidote 3
appear 1
appearances 2
appears 2
approaching 1
are 14
around 1
arrive 2
arrives 1
article 1
as 5
ashore 1
assume 1
assumes 1
at 9
await 1
back 4
backwards 1
battle 1
baudelaire 2
baudelaires 5
be 10
beach 8
bearing 1
been 1
before 3
began 1
begin 1
begins 1
begs 1
bid 1
blurt 1
book 5
books 2
bowl 3
break 1
brig 2
briny 2
brother 1
build 1
but 3
by 7
can 2
cap 1
captain 2
captained 1
capturing 1
carmelita 1
carroll 1
case 1
cave 3
certain 1
charts 1
children 7
clearly 1
climb 1
close 1
coded 1
come 1
concierge 1
concluded 1
condiment 1
condition 1
coneshaped 1
connected 1
containing 1
continuing 1
cook 1
could 1
count 2
courage 1
crew 1
culinary 1
cycle 1
d 1
daily 1
day 2
days 1
deadly 1
death 1
debut 1
decision 1
decoded 1
decodes 1
decoding 1
denouement 2
devotees 1
dinner 1
disappeared 1
discover 4
discovered 1
discuss 1
dispatch 1
distance 1
do 1
down 1
drive 1
driven 1
effect 1
effects 1
elliott 1
emerges 1
engulfs 1
enough 2
enter 1
equivalent 1
escape 1
esme 1
estimate 1
etartsigam 1
everyone 1
everything 1
examined 1
exit 1
extremely 1
f 1
factual 1
far 1
farewell 1
fellow 1
fernald 3
final 1
finally 1
find 3
finding 1
finish 1
fiona 11
first 2
flee 1
floor 2
fog 1
food 1
for 6
foreshadow 1
foreshadowing 1
form 1
fought 1
fowl 1
from 9
fungus 2
geraldine 1
get 1
given 1
gone 1
good 1
gorgonian 2
grotto 5
grow 1
had 2
has 7
have 6
he 6
headquarters 1
helmet 4
help 1
helped 1
her 3
herself 1
him 4
his 2
hookhanded 2
horseradish 2
hotel 2
houses 1
however 1
in 16
including 2
infiltrated 1
information 1
inside 1
insisting 1
interrogated 1
interrupts 1
into 1
introduces 1
investigate 1
is 13
isolated 1
it 9
items 1
jacques 1
joined 1
journey 1
js 1
julienne 1
jury 1
just 3
justice 1
kit 3
kitchen 1
klaus 8
knickknacks 1
know 1
knowing 1
knows 1
lamps 1
land 1
last 1
learned 1
leaving 1
letter 2
letters 1
lewis 1
life 1
lit 1
location 2
looks 1
lucky 1
lumbermill 1
lying 1
machine 1
made 1
magistrate 1
man 2
manages 1
many 1
mark 2
marks 1
may 1
meal 1
medusoid 2
meet 1
meeting 1
members 1
mentions 2
message 2
met 1
minutes 1
mr 3
murdered 1
mushroom 2
mushrooms 2
must 1
mycelium 2
mycological 1
mysterious 4
mysteriously 1
nap 1
narrow 2
needed 1
never 1
newspaper 1
next 2
no 2
not 2
object 1
occupy 1
octopus 1
of 22
off 3
olaf 7
on 11
one 2
only 2
open 1
opening 1
optimistic 1
orders 1
orphans 1
other 3
out 1
outside 1
over 1
own 1
part 1
past 1
penultimate 2
peril 2
periodically 1
personal 1
phil 3
picks 1
picture 1
pocket 1
poe 3
poem 2
poetry 1
poisonous 2
police 1
prepare 1
previous 1
punctilios 1
quagmire 1
quarantine 1
queequeg 5
question 2
quigley 2
radar 2
rapid 1
rare 1
read 1
realize 1
receive 1
received 1
remain 1
remote 1
reporter 1
researcher 1
resolve 1
retreat 1
return 2
returning 1
revealed 1
reveals 1
room 2
safety 1
sake 1
sandy 1
sauce 1
saves 1
saw 1
says 1
scattered 1
search 2
searching 1
seem 1
seems 2
seen 1
sees 1
sent 1
shape 1
she 6
ship 5
short 1
shortly 1
sibling 1
siblings 1
side 1
sign 1
similar 1
smells 1
snicket 6
so 3
some 2
sonar 1
spats 1
species 1
spore 1
springing 1
squalor 1
starts 2
station 1
stations 1
still 1
stops 1
strauss 1
submarine 5
suddenly 1
sugar 3
sunny 11
surprisingly 1
suspects 2
take 1
taken 1
takes 1
taxi 3
team 1
telegram 1
tells 1
textbooks 1
that 14
the 113
their 4
them 4
themselves 1
then 2
there 3
they 23
third 2
this 3
three 1
tidal 1
tiled 2
tin 1
to 34
too 1
took 1
triumphantly 1
troubles 2
ts 1
two 4
unjust 1
until 1
up 6
using 1
v 1
very 1
vessel 1
vfd 3
village 1
villains 1
violet 7
visible 1
voluntary 1
waiting 1
walls 2
wane 1
waning 1
wanting 1
was 2
wasabi 2
wasabithe 1
washed 1
waste 1
water 1
wax 2
waxing 1
what 1
wheel 1
when 3
where 5
which 7
while 3
whilst 1
who 3
whom 2
widdershins 5
will 2
with 5
without 1
woman 1
word 1
worker 1
world 1
wrong 1
