1453348
/m/052t4v
/m/052t4v
Leo Tolstoy
1886
{"/m/02xlf": "Fiction", "/m/037mh8": "Philosophy"}
a 12
also 1
although 1
an 2
and 18
apart 1
arbitrary 1
artificial 2
as 5
at 1
attempts 1
authentic 2
avoiding 1
awkwardly 1
be 3
because 1
becomes 3
bed 1
been 1
begins 3
behavior 1
between 1
boy 1
bright 1
brought 2
but 3
by 2
can 1
cannot 1
carefree 1
cease 1
chest 1
clear 2
climbing 1
comfort 1
compassion 2
condition 1
confronted 1
could 1
cure 1
curtains 1
daughter 1
day 1
days 2
death 8
demanding 1
deserve 1
diagnosis 1
disappears 1
discomfort 1
does 4
during 1
dwells 1
dying 1
enduring 1
every 1
everyone 1
face 2
fact 1
falls 2
family 3
fear 2
feels 1
final 1
finally 1
finds 2
first 1
focusing 1
for 7
force 1
forced 1
friend 1
from 2
gerasim 2
good 2
grasp 1
grows 2
had 1
hand 1
hanging 1
has 5
hate 1
hates 1
he 24
head 1
here 1
him 2
his 32
home 1
hopes 1
hurts 1
idea 1
if 1
ilyich 1
in 7
influence 1
insists 1
insodoing 1
intense 1
into 1
irritable 1
is 7
it 4
itself 1
ivan 8
just 1
knows 2
ladder 1
leaves 1
less 1
life 13
light 1
like 1
lived 3
lives 1
long 1
longer 1
magistrate 1
makes 2
malady 1
marked 1
marriage 1
masks 1
meaning 1
more 2
mortality 1
most 3
much 1
must 1
nearby 1
new 1
no 1
not 6
obtain 1
of 11
often 1
on 2
one 3
only 4
onto 1
or 1
ordinary 1
over 1
own 2
pain 4
painful 1
peasant 1
person 1
physician 2
pinpoint 1
pities 1
pity 1
presence 1
pretending 1
process 1
promoted 1
question 1
rather 1
realizes 1
reason 1
release 1
remainder 1
remedy 1
rightly 1
selfinterest 1
senseless 1
servant 1
shows 1
sick 1
side 3
simple 1
situation 1
so 2
social 1
some 1
son 3
soon 1
source 1
spend 1
spends 1
split 1
strikes 1
subject 1
such 1
suffer 1
suffering 1
suggests 1
sympathy 1
terminal 1
terrible 1
terror 1
thanks 1
that 5
the 17
them 2
then 1
there 1
therefore 1
think 1
though 1
to 9
tolerable 1
tolstoy 1
too 1
towards 1
true 1
truly 1
until 1
up 1
visit 1
way 1
whether 1
which 1
while 1
who 3
whom 1
wife 2
will 1
with 2
woman 1
work 1
working 1
works 1
worsening 1
