27364078
/m/0by1qhs
/m/0by1qhs
Amish Tripathi

{"/m/02xlf": "Fiction"}
a 11
about 1
accepts 1
actually 1
advances 2
against 1
allows 1
also 3
amid 2
an 3
anandmayi 1
and 25
announce 1
are 4
area 1
army 1
as 4
assault 1
at 1
attacked 1
attacks 1
away 1
ayodhya 1
ayurvati 3
bahaspati 1
battle 1
be 1
beautiful 1
becomes 1
been 1
between 1
bhadra 1
births 1
blasted 1
blue 2
book 1
border 1
brahaspati 3
brave 1
brought 1
but 2
by 5
can 1
capital 2
captured 1
carry 1
carrying 1
centuries 1
chandravanshi 2
chandravanshis 5
charging 1
chief 4
choices 1
city 2
close 1
come 2
comes 3
coming 1
comrades 1
confirming 1
consultation 1
court 1
created 1
cursed 1
daksha 5
daughter 1
decide 1
declares 2
deformities 1
devagiri 4
devastating 1
develop 1
devoid 1
dharmakhet 1
dissolve 1
distressed 1
doing 1
drying 1
due 1
dumbfounded 1
during 1
earlier 1
east 1
emissaries 1
empire 2
encounter 1
ends 1
enraged 3
even 1
ever 1
evil 1
expedition 1
extinction 1
fabled 1
face 3
family 2
famous 1
fate 1
fever 1
fierce 1
find 1
finds 2
first 2
for 2
forces 1
form 1
forward 1
fought 1
friendship 1
from 5
front 1
get 2
greatest 1
guide 1
gunas 2
happiness 1
has 3
have 2
he 9
head 1
healing 1
hearing 1
heart 1
her 4
high 1
hill 1
him 2
himself 1
his 11
however 3
impressed 1
in 9
india 1
insignia 1
inventor 1
inventors 1
invite 1
invited 1
invites 1
involvement 1
is 13
its 3
joined 1
joy 1
kanakhla 1
karma 1
killed 1
king 3
know 3
land 3
large 1
later 1
launching 1
law 2
learns 2
legend 1
legendary 1
lethal 1
life 3
live 1
lived 2
look 1
lord 1
loud 1
made 1
mandar 3
manufactured 1
many 3
married 2
medicine 1
meets 3
meluha 6
meluhan 2
meluhans 8
meru 1
minister 1
monarchs 1
morning 1
mount 2
moves 1
much 1
mysterious 1
nagas 2
nagawho 1
nandi 1
near 2
neelkanth 5
night 1
no 1
noises 1
north 1
notices 1
obsolete 1
of 31
off 1
on 6
once 1
one 4
only 1
orders 1
out 4
part 1
parvateshwar 1
past 1
penance 1
perfect 1
perils 1
physical 1
potion 1
present 1
prevail 1
priest 1
primary 1
princess 2
process 1
prohibits 1
proposal 1
protector 1
proud 1
pure 1
race 1
ram 2
reach 2
reason 1
received 1
rejects 1
returns 1
revered 1
river 2
royal 2
rule 1
rulers 1
saraswati 2
sati 5
save 2
saviour 1
seeing 1
sends 1
severe 1
she 2
shiva 23
sign 2
similar 1
sins 1
slowly 1
so 2
socalled 1
somras 3
srinagar 2
standing 2
stay 2
staying 1
suryavanshi 1
suryavanshis 1
swadweep 2
swadweepans 1
swears 1
sweating 1
symptoms 1
taken 3
tells 1
temple 3
terrorist 1
that 12
the 71
their 4
them 3
then 1
there 5
these 1
they 5
this 3
those 1
though 2
throat 2
tibet 1
to 21
too 1
towards 1
treacherous 2
tree 1
tribe 2
tribes 1
tries 1
troops 1
turn 1
turned 1
ultimately 1
unaffected 1
under 1
undiluted 1
untouchable 1
up 2
upon 1
using 1
utterly 1
veer 1
very 1
vikarma 3
visits 1
waiting 1
wake 1
wakes 1
war 1
warrior 1
wars 2
was 5
waters 1
way 1
when 1
where 2
which 5
while 1
who 2
whole 1
whom 1
whose 1
why 1
will 2
wins 1
with 7
woman 1
years 1
