1832130
/m/05_j38
/m/05_j38
Richard Morgan
2005-03-17
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
400 1
a 18
able 1
above 1
active 1
actually 1
after 3
against 3
aiconsciousness 1
all 1
allow 1
allows 1
altitude 1
amok 1
an 2
and 18
angelfire 1
angels 1
anglefire 1
any 2
appears 1
approaching 1
are 5
around 1
artifacts 1
as 3
assault 1
associates 1
at 1
attack 2
attacks 1
avianwinged 1
back 1
badly 1
base 3
be 1
beam 1
because 1
been 2
behalf 1
behind 1
betrayed 1
blue 2
broken 1
bugs 2
but 2
by 10
calls 1
captors 1
captured 1
catches 1
center 1
centers 1
chance 1
circuitry 1
civilization 1
collapses 1
colleagues 1
combat 1
command 1
compounded 1
comradeinarms 1
connection 2
continent 1
coordinating 1
covered 1
created 1
crew 4
criminal 1
current 1
daughter 1
decides 1
decisions 1
declared 1
decom 1
decommission 1
destroy 1
detail 1
dictators 1
disappeared 1
discover 1
discovered 1
discovery 1
do 1
down 1
duplicated 1
during 1
eliminating 1
embedded 2
ends 1
envoy 3
established 1
every 1
expansion 1
express 1
extremist 1
falconer 1
few 1
finds 1
first 1
fixed 1
floating 1
flying 1
for 2
forces 1
fortress 1
from 3
galaxy 1
gateway 1
genetic 1
group 1
habit 1
had 1
hardware 1
harlan 6
harlans 1
has 4
have 2
he 3
head 2
her 4
hiding 1
highenergy 1
him 3
himself 2
his 5
home 1
homeworld 2
however 1
humans 2
hunting 1
illegally 1
in 7
incite 1
inscrutable 1
instead 1
instructor 1
intent 1
is 12
its 1
kill 1
killed 2
killing 2
knights 1
known 1
kovacs 12
leader 1
leaving 1
left 1
level 1
life 1
little 2
local 1
long 1
longdead 2
longdormant 1
lost 2
love 1
make 2
making 1
maps 1
mars 1
martian 2
martians 4
member 1
mercenary 1
meters 1
military 1
millennium 1
missions 2
more 1
most 2
mount 1
mystery 1
named 1
nearby 1
neoquellists 1
new 2
newfound 1
ninetenths 1
nonetheless 1
not 1
novel 1
numerous 1
object 1
of 22
old 1
oligarchy 1
on 7
one 2
operates 1
operating 1
or 1
orbitals 4
order 2
original 1
our 2
out 2
owner 1
passage 1
peculiar 1
personal 1
personality 1
pieces 1
planet 1
planetwide 1
population 1
programmed 1
quellcrist 1
rather 1
recaptured 1
recent 1
recovery 1
referred 1
refuge 1
relative 1
religious 2
replaced 1
rescue 2
return 2
revelation 2
revenge 1
revolution 1
revolutionary 2
ruling 1
run 2
same 1
saves 1
schemes 1
second 1
secure 1
see 1
self 3
semisuccessful 1
sentient 1
settlement 1
several 1
she 1
showing 1
since 1
single 1
so 1
software 1
sold 1
space 1
sparing 1
species 1
strict 1
struggle 1
sufficient 1
superadvanced 1
surrounded 1
survivors 1
sylvie 5
sylviequellcrist 5
system 1
take 1
takeshi 1
technological 1
technology 1
tenets 1
than 1
that 3
the 35
their 3
them 2
these 1
they 5
this 1
to 15
trying 1
turn 1
un 1
universe 2
unknown 1
up 1
upon 1
using 1
vendetta 1
version 1
vidaura 2
violating 1
virginia 1
virus 1
wait 1
was 1
water 1
weapons 1
were 2
when 1
where 1
whether 1
which 3
while 1
who 2
will 2
with 8
woman 1
world 4
younger 4
zealots 1
