418537
/m/0262lj
/m/0262lj
Douglas Preston
1995
a 8
about 1
according 1
all 1
also 1
american 1
analogous 1
and 2
apparent 1
appears 1
around 1
as 1
at 1
be 2
becomes 1
begins 1
behind 1
blockbuster 1
brazilian 1
brutal 1
by 1
characters 1
city 1
conspired 1
crazed 1
damage 1
days 1
demon 1
depicting 1
doomed 1
during 1
earlier 1
evidence 1
exhibition 2
expedition 1
father 1
few 1
fictionalized 1
first 1
for 1
foursthe 1
god 1
had 2
happens 1
he 1
history 1
in 2
inside 1
is 2
it 2
keep 1
known 1
kothoga 3
leaders 1
legend 1
lizard 1
lost 1
mbwun 2
murders 4
museum 6
must 1
natural 1
new 1
not 1
of 6
on 2
opening 1
place 1
point 1
preceding 1
premises 1
previous 1
rainforest 1
relic 1
reputation 1
satan 1
search 1
secret 1
select 1
several 2
shown 1
so 1
solve 1
spectacular 1
string 1
superstition 1
suspiciously 1
take 1
that 4
the 12
these 1
they 1
time 1
to 9
translation 1
tribe 1
undertaken 1
upcoming 1
version 1
walks 1
who 1
whose 1
years 1
york 1
