69111
/m/0j087
/m/0j087
Douglas Adams
1984
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/02yq81": "Comic novel", "/m/09kqc": "Humour", "/m/0hh4w": "Comic science fiction"}
37 1
a 12
ability 1
able 2
about 6
across 3
after 6
age 1
all 3
also 1
alternate 1
an 4
and 17
apologise 1
appears 2
approximately 1
arthur 11
as 3
ask 1
audio 1
aware 1
babel 1
barely 1
be 1
because 1
become 1
becomes 1
been 3
before 3
begins 1
belief 1
big 1
blacked 1
bowl 3
built 1
but 4
by 1
caf 1
california 1
can 1
catches 1
cause 1
causing 1
cave 1
centre 1
chaos 1
circumstances 1
commandeer 1
concurrent 1
connected 1
connecting 1
considers 1
continue 1
couple 1
crashing 1
creation 1
curious 1
delusional 1
dent 1
destroyed 2
destruction 1
dies 1
dimension 1
disappearance 1
disappeared 1
discovers 1
do 1
dolphins 3
driving 1
dropped 1
due 1
during 2
earth 8
encourages 1
england 1
enigmatic 1
entire 1
entry 1
epiphany 1
eschewed 1
even 1
event 1
events 2
eventually 1
ever 1
everything 2
explains 2
favour 1
feel 1
feet 1
fenchurch 10
fenny 1
few 1
final 2
find 2
finds 3
fish 2
flat 1
fly 2
for 7
ford 3
from 1
galaxy 3
giant 1
giftwrapped 1
god 1
golgafrinchans 1
gone 2
good 1
ground 1
guide 1
had 3
hallucinations 2
happen 1
happily 1
harbouring 1
harmless 1
has 6
have 1
he 16
help 1
her 7
him 1
himself 1
his 10
hitch 1
hitchhike 2
hitchhiked 1
hitchhiker 1
hitchhiking 2
home 4
how 2
humans 1
hysteria 1
i 2
in 9
inconvenience 1
inscribed 2
inside 1
insists 1
is 8
it 9
john 1
know 1
known 1
land 1
learn 1
learns 2
left 1
lets 1
life 1
listen 1
lived 1
locates 1
london 2
long 2
loses 1
love 1
mad 1
make 2
man 1
manages 1
marvin 2
mass 1
meets 1
message 3
moments 1
months 1
more 4
mostly 1
name 1
named 1
new 1
next 1
not 3
noticing 1
now 1
number 1
obtains 1
of 10
off 1
older 1
on 6
only 1
onto 1
order 1
original 1
out 2
over 2
own 1
panic 1
passed 1
passing 1
phone 1
plan 1
planet 2
population 1
prefect 1
prehistoric 1
previous 2
purports 1
putting 1
questions 1
rainstorm 1
reach 2
reads 1
realises 1
recall 1
recognising 1
replaced 1
replacing 1
research 1
reveals 1
ride 1
right 1
robot 2
russell 2
same 1
sane 1
save 1
saving 1
saw 1
scientist 1
see 2
several 1
she 5
ship 2
ships 1
short 1
shortly 1
shows 1
since 1
sister 1
sitting 1
skies 1
smiles 1
so 2
somehow 1
something 1
spaceship 1
spaceships 1
spot 1
still 1
stillstanding 1
strange 1
takes 1
talk 1
teaches 1
text 1
than 1
thanks 2
that 14
the 41
them 2
then 2
these 1
they 9
think 1
though 1
thoughts 1
through 1
times 1
to 26
together 2
touch 1
transporting 1
travel 1
tries 1
two 1
universe 1
up 1
update 1
uses 1
using 1
utters 1
version 1
vogon 1
vogons 2
volumes 1
wander 1
wants 1
watson 2
way 1
we 1
well 1
when 1
whenever 1
where 1
which 2
while 2
who 4
with 9
wonko 1
words 3
world 1
worldwide 1
written 1
wrote 1
years 1
yellow 1
