8514713
/m/02765h7
/m/02765h7
Jeff Lindsay

a 10
abduction 1
abducts 1
accidentally 1
after 2
all 1
amidst 1
amputation 1
an 1
and 9
answer 2
as 1
asked 1
astor 1
at 1
before 1
begun 1
bizarrely 1
body 1
boyfriend 1
boys 1
brand 1
by 1
carefully 1
caro 1
case 1
chaos 1
children 1
chosen 1
chutsky 1
civil 1
climax 1
cody 1
come 1
complicity 1
comrades 1
contemplate 1
csdrasticky 1
danco 5
dark 1
days 1
deborah 1
detective 2
devoted 3
dexter 11
dextera 1
doakes 3
dobrego 1
doctor 1
dojemn 1
drawn 1
drugs 1
during 1
each 2
engaged 1
esquerido 1
eyelids 1
fidexterin 1
finds 1
for 2
former 1
forward 1
fosterfather 1
found 1
free 1
frle 1
game 1
genitalia 1
girlfriend 1
grown 1
guess 1
had 1
hangman 1
has 2
he 2
him 2
himself 1
his 7
homicide 1
impossible 1
in 6
includes 1
into 1
investigate 1
is 3
it 1
itil 1
kill 1
knives 1
kolkko 1
kutsumus 1
kyle 1
learns 1
leaving 1
limbs 1
lips 1
looks 1
ltdearly 1
making 1
man 1
miami 1
mirror 1
molestation 1
murder 2
mutilated 1
new 1
nicknamed 1
noir 1
nostro 1
of 10
on 1
or 1
over 1
own 1
painkillers 1
part 1
passager 1
passenger 1
perceives 1
perhaps 1
period 1
placed 1
pldekalog 1
pornographic 1
psychotropics 1
ptdearly 1
recognizes 1
removal 1
removes 1
resembling 1
resulting 1
revenge 1
rita 2
ritual 1
ru 1
salvadoran 1
sergeant 1
series 1
served 1
several 1
similar 1
simpledearly 1
sister 1
someone 1
story 1
surgically 1
suspects 1
suspicious 1
tailing 1
take 1
taught 1
teaching 1
that 1
the 9
their 1
them 3
themselves 1
time 1
to 8
tongue 2
torturer 1
unintelligible 1
unknown 1
victim 1
victims 1
war 1
when 2
who 1
with 2
word 2
work 1
wrong 1
young 1
