2096063
/m/06lw82
/m/06lw82
Madeleine L'Engle
1965-01-01
12yearold 1
a 11
about 4
accompanying 1
act 1
acting 1
adam 17
against 1
agent 1
agrees 1
airplane 1
airport 1
all 1
allusion 1
along 2
american 1
and 10
another 1
anyway 1
approached 1
archer 1
are 2
arrested 1
as 5
ask 1
at 1
attacked 1
attempt 1
back 1
bad 1
beautiful 1
becomes 1
before 1
behalf 1
between 1
biblical 1
biology 1
board 1
both 1
but 4
by 4
calvin 2
can 1
canon 1
care 1
caring 1
carolyn 1
centers 1
chase 1
choose 1
claim 1
clear 1
coast 1
comes 1
completely 1
complicated 1
confidences 1
confusion 1
crew 1
cutter 2
cutters 3
dangers 1
date 1
daughter 2
dead 1
deepening 1
denies 1
derail 1
different 1
differently 1
dilemmas 1
disappear 1
do 2
double 1
dr 1
during 1
eddington 1
eldest 1
enables 1
equally 1
ethical 1
europe 1
even 2
eventually 2
ever 1
experimental 1
faces 1
factions 2
fake 1
fall 1
famous 1
father 4
fight 1
finds 1
flight 3
for 2
forced 1
friend 1
from 5
further 1
gaea 1
gave 1
geneva 1
get 1
goes 1
hampered 1
has 1
have 1
he 3
help 1
her 7
him 3
himself 1
his 2
hotel 1
however 1
impossible 1
in 3
industrialist 1
instead 1
interests 1
into 1
is 7
island 1
it 3
jfk 1
job 1
joshua 2
kali 10
keep 1
kidnappers 1
knife 1
knowledge 1
later 2
learned 1
learns 1
least 1
leaves 1
limb 1
lisbon 2
living 1
madrid 1
make 1
makes 2
marine 1
motivated 1
mysterious 1
named 1
nearly 1
not 1
nothing 1
number 1
ocean 1
of 5
off 2
okeefe 5
okeefes 2
on 6
ones 2
organ 1
others 1
out 1
papers 2
pass 1
passenger 1
passing 1
passport 1
people 1
perfidy 1
plan 1
plans 1
playfully 1
plot 2
polly 1
poly 4
portugal 1
presence 1
protect 1
puts 1
real 2
realizes 1
regeneration 2
reluctantly 1
remote 1
rescue 2
research 2
restroom 1
retrieve 1
rich 1
ruthless 1
scientist 1
seemingly 1
seems 1
shark 2
she 6
shepherding 1
shore 1
short 1
shot 1
sides 1
smuggling 1
so 2
sparrow 1
special 1
spies 1
strong 1
student 1
summer 1
tallis 2
that 5
the 22
their 1
these 1
this 1
those 1
to 21
travels 1
trust 1
trusted 1
two 1
typhon 1
unexpected 1
unfolds 1
unimportant 1
uses 3
wants 2
warns 1
was 2
weak 1
weather 1
welltraveled 1
when 1
where 1
who 2
whom 1
with 2
working 1
yet 1
young 1
