14628980
/m/03gr6cx
/m/03gr6cx
Mike Mignola
2007-08-28
{"/m/014dfn": "Speculative fiction"}
a 10
account 1
across 1
after 1
aid 1
aischros 2
all 2
also 1
amputated 1
an 1
and 13
andersen 1
angered 1
apparent 1
around 1
arrival 1
as 1
at 2
attack 1
attempts 1
awakes 1
baltimore 9
baltimores 1
bat 1
battlefield 2
bayonet 1
be 3
become 1
becomes 1
been 1
begins 1
believe 1
beloved 1
bent 1
blinding 1
brought 1
but 2
by 3
called 2
captain 2
causes 1
chapter 1
childress 2
christian 1
companions 1
consists 1
countries 1
creature 1
creatures 1
dead 2
demetrius 1
discovers 1
doctor 2
during 1
each 2
early 1
elowen 1
encounter 2
enemy 1
entire 1
europe 1
eye 1
face 1
family 1
feed 1
feeding 1
fictional 1
field 1
fire 1
for 2
forth 1
friends 1
from 3
gangrene 1
gentlemen 1
giant 2
grew 1
haigus 1
hans 1
happy 1
has 2
haunted 1
have 3
he 6
helped 1
henry 1
hideously 1
him 6
himself 1
his 15
home 4
hope 2
hospital 1
hours 1
how 1
i 1
in 7
infested 1
infests 1
inn 1
interlinked 1
is 6
island 1
it 4
its 1
jointed 1
jr 1
kill 2
killed 1
king 2
know 1
known 1
later 2
leads 1
leaving 1
left 1
leg 5
lemuel 1
lesser 1
lord 2
man 1
meet 1
men 2
met 1
mission 1
murdered 1
night 1
novel 1
of 8
off 1
on 6
one 1
only 1
parents 1
past 1
people 1
permanent 1
plague 2
plot 1
powerful 1
quickly 1
quote 1
reaching 1
red 2
return 1
returns 1
right 1
rose 1
scars 1
sea 1
see 1
several 1
shipped 1
sickness 1
sister 1
slashes 1
so 1
soldier 1
some 1
spreads 1
squad 1
steadfast 1
struck 1
succumbed 1
such 1
supernatural 1
surgeon 1
survived 1
tale 1
tales 3
tells 1
terrible 1
that 3
the 16
their 2
then 1
they 4
think 1
this 1
thomas 1
three 2
tin 1
to 11
trader 1
travels 1
treated 1
true 1
truth 1
turns 1
two 1
unknowingly 1
up 1
upon 1
vampire 3
vampires 1
vampirism 1
wait 1
war 3
warring 1
when 2
which 1
while 1
who 5
why 1
wife 2
with 5
wooden 1
world 1
wounded 1
wounds 1
yet 1
