21183148
/m/05bzky6
/m/05bzky6
Alison Lurie
1974
{"/m/05hgj": "Novel"}
16 1
170 1
40 1
a 11
abeyance 1
abortion 3
academic 1
admirer 1
admires 1
adolescence 1
affair 2
again 1
also 2
ambition 2
an 5
and 16
any 1
approach 1
are 3
as 3
at 4
attempting 1
attending 1
attitudes 1
attracted 1
baby 1
basically 1
battle 1
be 4
beautiful 1
because 1
become 2
been 1
begins 1
between 1
book 1
books 1
bookstore 1
both 1
boyfriend 1
breaks 1
brian 10
but 5
by 1
california 1
called 1
can 1
cant 1
carrier 1
chair 1
children 1
childrens 1
cold 1
colleague 1
commune 1
consequence 1
conservative 1
considered 1
considers 1
containment 1
content 1
corinth 1
countercultural 1
couple 1
crisis 1
danielle 2
dc 1
degree 1
department 1
depressed 1
despairing 1
devised 1
dibble 1
dinners 1
diplomat 1
discomfiture 1
divorced 1
easier 1
embarks 1
endowed 1
ends 2
erica 5
ericas 1
extremely 1
faculty 1
feels 1
finds 1
for 2
fortunately 1
friend 1
friendmdashzed 1
from 2
fulltime 1
futilely 1
genes 1
george 1
get 1
gets 1
given 1
giving 1
goes 1
gotten 1
grad 1
gratification 1
greatly 1
ground 1
group 1
had 3
happy 1
harry 1
harvard 1
has 7
have 2
he 10
helping 1
her 7
highly 1
him 1
his 5
holder 1
homely 1
however 1
humanity 1
husband 1
immediately 1
impregnates 1
in 15
influence 1
invites 1
involved 2
is 8
it 1
jennymdashwho 1
kennan 2
learn 1
least 1
legalized 1
leonard 1
liberation 1
life 1
live 1
lot 1
lsd 1
marry 1
may 1
mdash 1
meanwhile 2
men 1
mid40s 1
middle 1
midlife 1
motherhood 1
music 1
never 2
new 2
no 1
not 1
novel 1
now 3
nurtured 1
of 14
off 2
offspring 1
old 1
on 1
once 1
one 2
or 1
other 1
out 1
own 3
paralleled 1
participate 1
particular 1
place 1
polarized 1
policy 1
political 1
precious 1
pregnant 1
president 1
prior 1
probably 2
professor 1
protest 1
published 1
pursued 2
quite 1
radcliffe 1
raise 1
reaches 1
realize 1
realized 1
realizes 1
reputation 1
resumes 1
rudeness 1
runs 1
sake 1
sayles 1
scholar 1
science 1
seemingly 1
selfishness 1
seriously 1
serve 1
sexist 1
she 6
should 1
sides 2
situation 1
some 1
soon 1
soviet 1
stand 1
start 1
state 1
student 2
successful 2
suicide 1
support 1
take 1
takes 1
tate 4
terrified 1
that 4
the 19
their 5
then 1
there 1
they 2
this 2
to 14
too 1
town 1
trip 1
truman 1
two 1
undergo 1
undergraduates 1
union 1
university 1
unsatisfying 1
up 3
upstate 1
want 1
war 2
wars 1
washington 1
we 1
wendy 3
were 1
when 3
whether 1
which 1
who 2
whom 1
wife 1
will 3
with 6
women 1
womenmdashhe 1
womens 1
work 1
worldaltering 1
writing 1
york 2
young 3
younger 1
zed 1
zimmernmdashrecently 1
