14666287
/m/03gsdmy
/m/03gsdmy
Laurence Yep

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1000 1
a 19
able 2
abundantly 1
access 1
actions 1
after 3
agrees 1
alarm 1
all 2
alone 1
along 1
although 1
an 4
ancient 1
and 30
anticipated 1
any 1
are 7
around 1
arrives 1
arriving 1
as 13
at 4
attempt 2
back 3
baldy 2
barely 1
bargain 1
battlescarred 1
be 3
bearing 1
because 1
become 1
been 1
begins 1
being 4
best 1
better 1
between 2
biggest 1
bird 1
bittersweet 1
blooms 1
both 1
branch 1
breaks 1
bring 1
but 5
butcher 1
by 8
can 2
cannot 1
capital 1
captured 1
caught 1
cauldron 4
cell 3
certain 1
chain 1
chains 1
chance 1
changing 1
chopped 1
civet 6
clan 3
come 1
commander 1
companions 1
conscripted 1
construct 1
contact 1
convince 2
convinces 2
court 1
covets 1
cracked 1
create 1
creates 1
creature 1
currently 1
darkness 2
decide 1
defeat 2
defeated 1
despite 1
deteriorated 1
direction 1
disabled 1
discovers 2
disguise 1
disguised 2
does 2
door 1
down 1
dragon 2
dragons 7
dream 1
dungeons 2
earns 1
eat 1
ebony 2
efforts 1
enchanted 1
entire 1
escape 6
eventually 1
exists 1
expecting 1
fight 3
find 1
finds 1
fire 1
fish 2
five 1
flower 3
flowers 2
flying 1
foiling 1
for 4
forcefully 1
forest 2
forge 1
form 1
former 1
fort 2
francolin 3
free 1
from 6
get 1
gets 1
getting 1
gifts 1
girl 1
giving 1
grand 1
green 2
grow 1
guarded 1
guardian 1
guards 3
had 3
hair 1
hand 1
has 3
have 2
having 1
he 6
help 3
helps 1
her 13
high 1
him 4
his 3
history 1
homecoming 1
homeland 1
hostile 1
however 2
human 2
humans 2
hundreds 1
illusionary 2
implanted 2
impressed 1
in 11
increasingly 1
indigo 9
inland 5
into 5
is 14
it 5
its 1
jealousy 1
just 1
keeper 1
killing 1
king 2
knowing 1
known 3
krakens 1
labor 1
lady 3
led 1
left 2
let 1
letting 1
lives 1
locks 1
long 1
lord 2
luring 1
mage 1
magic 1
magical 1
magically 1
making 1
manage 4
manages 2
managing 1
massive 3
masters 1
meant 1
meet 1
members 1
met 1
metals 1
mist 1
mollified 1
monkey 6
mountain 1
much 1
narrowly 1
nearly 1
needle 2
needles 1
never 1
news 2
nor 2
not 4
ocean 1
of 25
off 1
often 1
oldest 1
on 4
one 1
ones 1
only 1
open 1
opposite 1
out 4
outnumbered 1
outpost 1
over 2
overjoyed 1
palace 4
part 1
party 1
patrol 1
pearl 2
people 1
person 1
place 1
placed 1
plan 1
powerful 1
presented 1
preserved 1
prevents 1
process 1
proves 1
provocative 1
put 1
raiding 1
ramsgate 1
ready 1
receive 1
reception 3
relations 1
relinquish 1
removed 1
removing 1
request 1
restoring 1
restrain 1
result 1
retrieve 1
return 1
returns 1
reverses 1
rod 1
route 1
ruined 1
run 1
rusts 1
sambar 7
save 1
sea 6
seconds 1
see 1
seeking 1
seeks 1
seems 1
servant 1
settle 1
she 6
shimmer 20
shores 1
signs 1
single 1
sneak 1
so 2
some 3
sounded 1
spell 1
stalk 1
steal 1
steel 1
still 1
stone 1
stored 1
strikes 1
strong 1
suggesting 1
suggests 1
summon 2
swallowed 1
symbol 1
take 3
taken 1
teacher 1
tears 2
tempered 1
that 10
the 59
their 5
them 8
then 1
there 2
they 7
thorn 8
threat 1
three 1
thrown 1
to 43
transformed 1
transported 1
transporting 1
treasure 1
treatment 1
tries 1
truest 1
try 1
trying 1
tumblers 1
turn 1
unable 1
uncle 2
undersea 1
underwater 2
until 1
up 2
use 1
used 1
using 1
vault 2
very 1
village 1
volcanoes 1
war 1
warm 1
warships 1
was 3
way 2
weapons 1
welcome 1
welcomed 1
what 1
when 3
where 2
which 5
while 1
whimsical 1
who 5
with 5
without 1
working 1
xii 1
yet 1
young 1
youngest 1
