3800855
/m/0b0ppn
/m/0b0ppn
Mo Hayder
2004
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
137 1
a 4
about 1
after 1
also 1
an 2
as 1
being 1
by 1
chance 1
chinese 1
club 1
could 1
decides 1
detailing 1
event 1
fellow 1
find 1
finds 1
footage 1
from 1
grey 2
group 1
have 1
he 1
her 2
hospital 1
host 1
if 1
in 1
ingredient 1
into 1
invasion 1
is 2
japan 1
japanese 1
known 1
local 1
massacre 1
medicine 1
mental 1
nanking 2
nicknamed 1
not 1
obsessed 1
occurred 1
of 4
only 1
order 1
otherwise 1
patient 1
procure 1
professor 2
prove 1
rape 1
rare 1
recruited 1
said 1
she 3
show 1
story 1
tape 1
that 2
the 7
to 4
travels 1
unknown 1
was 1
who 1
will 1
with 1
woman 1
yakuza 1
young 1
