2594646
/m/07qgrn
/m/07qgrn
Elmore Leonard
1992
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
44yearold 1
a 4
africanamerican 1
airline 1
and 1
at 1
bail 1
beach 1
been 1
bondsman 1
bringing 1
burke 1
cash 1
cherryto 1
comes 1
cops 1
country 1
fact 1
fl 1
follows 1
for 2
from 2
get 1
gunrunner 1
has 1
hatches 1
he 1
help 1
herself 1
in 1
into 1
jackie 2
keep 1
lightskinned 1
max 1
miami 1
money 1
named 1
nickname 1
ordell 2
palm 1
planwith 1
punch 1
robbie 1
rum 1
set 1
she 1
stewardess 1
that 1
the 4
to 2
try 1
use 1
west 1
when 1
whitebread 1
who 1
whose 1
