6669168
/m/0ggqpf
/m/0ggqpf
Trevor Miller


a 3
an 1
and 2
apartment 1
been 2
blood 1
bring 1
by 1
certain 1
chance 1
chic 1
corporate 1
despite 1
drug 1
effects 1
evidence 1
girl 1
got 1
has 3
he 4
his 2
how 1
in 1
is 2
justice 1
killers 1
loft 1
loved 1
luger 1
mind 1
murdered 1
not 1
of 3
on 2
one 1
only 2
or 1
persian 1
pistol 1
powerful 1
psychotropic 1
rug 1
shirt 1
shrouded 1
struggle 1
sure 1
surroundings 1
that 1
the 5
there 1
theres 1
things 1
three 1
to 2
tom 1
unfamiliar 1
up 1
valentine 2
wakes 1
warped 1
where 1
