25011028
/m/09g9ntn
/m/09g9ntn
Sophie Kinsella

a 4
accomplishing 1
agency 1
always 1
an 2
and 3
arduous 1
as 2
at 1
behind 1
besieged 1
bold 1
but 2
by 4
cant 1
charlestondancing 1
cobwebs 1
coerced 1
cofounder 1
demanding 1
demands 1
doing 1
dragonfly 1
dumped 1
embarks 1
ends 1
enormous 1
enshrouded 1
entangled 1
even 1
fact 1
find 2
for 1
form 1
funeral 1
future 1
get 1
gets 1
ghost 1
girl 2
greataunt 1
had 1
has 2
headhunting 1
her 10
imagination 1
in 3
inadvertently 1
is 3
it 1
josh 1
journey 1
lara 4
life 1
longlost 1
love 3
managing 1
more 1
much 1
necklace 2
of 8
one 1
overactive 1
own 3
particular 1
precious 1
problems 1
process 1
recently 1
request 1
rest 1
sadie 3
said 1
she 3
so 2
story 2
success 1
such 1
that 2
the 6
time 1
to 3
truth 1
twentysevenyearold 1
ugly 1
uncertain 1
uncle 1
unearthing 1
unraveling 1
up 1
upon 1
visited 1
was 1
who 1
with 1
without 1
