3681524
/m/09v4m1
/m/09v4m1
William Goldman
1973
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction"}
a 20
abusing 1
accepts 1
across 1
after 3
agrees 1
alive 2
all 2
allowing 1
alone 1
also 1
although 1
and 25
annoyance 1
answer 1
any 1
are 1
arena 1
arranged 1
arranges 1
arrives 1
as 10
assistant 1
assures 1
at 2
attack 1
attacked 1
author 1
await 1
away 1
battered 1
battle 1
be 2
beautiful 1
became 1
been 2
before 4
believes 2
believing 1
black 5
blacks 1
bluffs 1
boards 1
body 1
book 1
boy 1
but 6
buttercup 15
by 11
call 1
called 1
can 2
captaincy 1
captured 1
care 1
castle 2
catches 1
ceremony 1
challenge 1
challenges 1
chokes 1
chores 1
cliff 1
cliffs 1
closing 1
comments 1
commit 1
commits 1
commotion 1
complete 1
completed 1
condition 1
conscience 1
conveniently 1
count 3
country 2
course 1
cowardice 1
criminal 1
cut 1
dangerous 1
day 1
dead 2
deal 1
death 2
decides 2
deep 1
delights 1
demanding 1
depths 1
despair 1
devises 1
did 1
die 1
dies 2
discovered 1
does 1
done 1
down 2
draw 1
dread 4
drinking 1
duel 3
during 1
effectively 1
ends 1
enduring 1
enlist 1
enormous 1
enraged 2
evade 1
even 1
eventually 1
exiting 1
explained 1
expresses 1
facing 1
fact 1
fail 1
fair 1
falling 1
farm 3
father 2
fence 1
fencing 1
fezzik 7
fight 4
find 2
finding 1
fire 2
flashback 1
flees 1
florin 3
followed 1
follows 2
for 6
former 1
fortune 1
four 2
friend 1
genius 1
gets 1
giant 1
gorge 2
group 1
guards 1
guilder 1
had 1
hand 1
has 3
he 11
hear 1
heir 1
help 2
her 7
here 1
him 18
his 18
honeymoon 1
hoping 1
horses 1
hot 1
how 1
humperdinck 13
hunting 1
i 1
if 2
in 13
indicating 1
information 1
inigo 8
insanity 1
inspire 1
instead 2
instructed 1
into 4
invade 1
iocaine 1
is 14
it 3
just 1
kept 1
kidnapped 1
kidnapping 1
kill 1
killed 1
killer 1
killing 2
kills 1
king 1
largely 1
later 2
learned 1
learns 1
leave 1
leaves 2
levels 1
lives 1
locate 1
longrehearsed 1
love 4
machine 1
magician 1
man 9
many 2
marriage 1
married 1
marry 3
masked 1
master 1
match 1
max 2
meaning 1
meanwhile 1
meets 1
men 1
menacing 1
merely 1
mighty 1
miracle 2
mishaps 1
montoya 1
more 1
mostly 1
moved 1
murder 1
murderer 1
name 1
named 2
negotiates 1
neighboring 1
never 2
night 1
nightmares 1
not 3
notorious 1
oath 1
of 23
off 1
on 7
only 2
opponent 1
ordeals 1
order 1
orders 2
out 4
outlaws 1
over 1
overcome 1
pain 1
palace 1
paralyzed 2
partially 1
partly 1
party 3
passed 1
past 1
perform 1
pirate 4
pit 1
plan 1
point 1
poisoned 1
powder 1
predecessor 1
prefers 1
prince 5
prompts 1
pronounces 1
proposes 2
provide 1
purebred 1
pursues 1
pursuit 1
reaches 3
realizes 2
receives 1
reciting 1
referring 1
regarding 1
release 2
remains 1
renaissanceera 1
rescue 1
rest 1
resulting 1
resurrects 1
returns 2
revealed 2
reveals 1
revenge 1
rides 1
rival 1
roberts 5
rock 1
rodents 1
romantic 1
rouses 1
rugen 4
sail 1
sand 1
satisfy 1
scene 1
screams 1
sea 2
secretly 2
seek 2
seeking 1
send 1
sent 1
series 1
several 1
she 10
ship 3
ships 2
short 1
shoves 1
sicilian 1
sixfingered 2
size 1
snow 1
so 3
spaniard 1
spanish 1
start 1
still 1
stop 1
story 1
stunned 1
subjects 1
successful 1
such 1
suicide 2
suite 1
sunset 1
swamp 2
sword 2
take 1
taunts 1
tells 2
that 17
the 66
their 2
them 2
then 1
there 1
they 6
this 1
those 1
throne 1
through 3
throughout 1
throws 1
to 35
too 1
top 1
tortured 1
tortures 1
travel 1
tricked 1
trio 1
true 1
trying 1
turkish 1
tyrone 1
underground 1
unhappiness 1
unhurt 1
until 1
unusual 1
up 2
upon 2
valet 1
vengeance 1
verbally 1
vessels 1
vizzini 5
war 2
warning 1
was 1
way 1
wedding 6
well 1
westley 24
when 2
wherein 1
whereupon 1
which 2
while 2
white 1
who 5
whose 1
will 5
wine 1
wins 1
wish 2
with 11
wits 2
woman 1
word 1
words 1
world 1
wrestler 1
wrestling 1
years 1
yelling 1
yet 1
you 3
zoo 1
