5969644
/m/0fh89h
/m/0fh89h
Mercedes Lackey

a 19
about 2
abused 2
accepts 1
actually 2
affair 1
age 1
ago 1
allows 1
along 2
already 1
also 6
amusing 1
an 7
anathema 1
and 30
annex 1
another 1
any 2
apologizes 1
appears 1
appointed 1
area 1
armsmaster 2
army 1
arrival 1
as 6
asked 1
assists 1
at 1
attacks 1
away 1
back 1
baires 4
bardic 2
be 1
beating 2
because 1
become 1
becomes 1
beginning 1
begins 1
being 4
believes 1
between 2
blood 1
book 1
border 3
both 3
boy 1
breaking 1
bullied 1
but 1
buy 1
by 7
campaign 1
can 1
caught 1
change 1
checks 1
child 2
childhood 1
clause 1
collegium 1
commands 1
companion 2
confides 1
confronts 1
confused 1
connected 1
considers 1
contains 1
control 1
could 1
countries 2
country 4
courageous 1
dangerous 1
daughter 2
deep 1
defending 1
destroying 1
dies 1
difficult 1
discover 2
disguised 1
disturb 1
does 1
doesnt 1
done 1
earthquake 1
emotionally 1
end 1
ends 1
enemy 1
entire 1
even 1
everyone 1
evil 1
exists 1
explains 1
extensive 1
family 11
father 4
fault 1
fear 1
few 1
finally 1
find 3
finds 1
focuses 1
for 4
form 1
forst 3
friend 1
friendship 1
from 4
gather 1
gay 2
ghost 2
giant 1
gift 1
good 1
guardian 1
had 1
happened 1
has 5
he 15
heartstone 1
heir 1
help 1
her 1
herald 2
heraldmage 1
him 5
himself 2
his 17
home 2
homosexual 1
how 1
however 1
if 3
ill 1
illegitimate 1
immediately 1
in 10
incestuous 1
inexperienced 1
information 1
intention 1
intentionally 1
interfere 1
into 2
is 17
it 6
jervis 4
jisa 2
just 2
karse 1
keep 1
keeping 2
killing 1
kills 1
king 4
knew 2
know 1
learns 1
leshya 1
lifebonded 1
like 2
lineas 10
little 1
long 1
looks 1
lores 2
love 1
made 1
mages 1
magic 5
magical 1
main 1
marriage 1
mate 1
mavelan 2
medren 2
meets 2
member 1
men 1
mentally 1
mentions 1
mentor 1
mind 1
minstrel 1
mortally 1
most 1
mother 3
much 1
murdered 1
neighboring 2
nephew 1
nicknamed 1
no 1
node 2
not 3
now 2
occur 1
of 13
often 1
old 1
on 3
one 2
only 1
opens 1
or 2
ordinary 1
out 2
outlands 1
over 1
overtures 1
own 3
palace 3
parents 2
parts 1
peace 1
perform 1
person 1
physically 1
place 1
placed 1
plot 1
position 1
powerful 1
prince 1
product 1
protect 1
psychic 1
randale 4
reach 3
reason 1
receive 1
recruits 1
related 1
remoerdis 3
removed 1
rest 1
return 3
returning 2
returns 1
rock 1
room 1
rough 1
royal 1
ruled 1
rumor 1
sad 1
same 1
savil 4
sealed 2
search 1
secret 1
seductive 1
select 1
sent 1
servant 1
service 1
sexuality 1
sexually 1
shares 1
shavri 4
shayachern 2
shields 1
signed 1
situation 1
small 1
smaller 1
somewhat 1
sorcerer 1
sorts 1
sponsors 1
sterile 1
stone 2
stops 1
summons 1
supposed 1
sworn 1
taboo 1
take 1
takes 1
target 1
targets 1
tashir 16
tells 1
that 12
the 39
their 1
them 1
then 1
there 1
they 5
this 1
throne 1
through 1
to 23
together 1
too 1
trapspell 2
treaty 2
trick 1
tries 2
truly 2
try 2
two 2
uncle 2
uneasy 1
unstable 2
up 1
upon 1
valdemar 5
vanyel 26
vedric 4
versa 1
very 1
vice 1
victims 1
warring 1
warriors 1
was 11
well 1
were 2
what 1
when 1
where 1
which 4
while 1
who 4
whose 1
why 2
with 11
without 1
wonders 1
would 1
yandes 1
yfandes 2
young 3
