34728872
/m/0j3d5qz
/m/0j3d5qz
Friedrich Dürrenmatt


145 1
a 4
all 2
an 2
and 8
as 1
at 2
be 3
becomes 1
being 1
believed 1
bern 1
blindly 1
brlach 9
brutally 1
camp 1
can 1
cancer 2
career 1
carried 1
changed 1
chile 3
clinic 4
close 1
closely 1
colleague 1
committed 4
concentration 1
consistently 1
control 1
convinced 1
crimes 2
decides 1
doctor 1
dr 5
drugged 1
dubious 1
during 2
either 1
emmenberger 8
end 1
experiments 2
explains 1
false 2
famous 1
fell 1
friend 3
fritz 1
from 2
gdansk 1
german 1
gulliver 3
hans 1
happen 1
has 1
have 1
he 4
him 1
himself 1
his 4
horrific 1
hospital 1
how 1
however 1
hungertobel 3
identify 1
in 14
indeed 1
inspector 1
into 1
is 9
it 1
jew 1
kramer 1
leading 1
leads 1
looking 1
loses 1
magazine 1
man 1
morning 1
murder 1
murders 1
name 2
near 1
nehle 5
nervous 1
nick 1
night 1
now 1
of 7
on 1
operation 2
or 1
order 1
out 2
pale 1
person 2
photograph 1
pictured 1
plan 1
pressure 1
pretense 1
prisoners 1
private 1
proves 1
put 1
reading 1
recovering 1
resembles 1
reunited 1
roles 1
same 1
samuel 1
saved 1
sign 1
staff 1
steps 1
stuffhof 1
stutthof 1
suffering 1
suicide 1
supervision 1
suspect 1
suspects 1
talk 1
terrible 1
that 3
the 19
their 1
they 1
those 1
through 1
time 2
to 9
turns 1
under 5
victim 1
visits 1
war 1
was 1
weakened 1
when 2
who 5
whose 1
with 1
witnesses 1
zurich 1
