18226449
/m/04cr67c
/m/04cr67c
Harry Turtledove
2007-02

a 4
and 3
are 2
audun 1
bizogot 1
burst 1
by 1
call 1
chieftain 1
confederation 1
count 1
crossing 1
discover 1
dispatched 1
earl 1
emperor 1
explore 1
explorers 1
eyvind 1
for 1
gap 3
gilli 1
glacier 1
hamnet 1
ii 1
in 1
lands 1
mammothherding 1
nation 1
nomadic 1
of 2
opens 1
other 1
own 1
powerful 1
preparing 1
raumsdalia 1
rulers 1
seize 1
side 1
sighvat 1
skakki 1
south 1
team 1
that 1
the 9
their 1
themselves 1
they 1
through 2
thyssen 1
to 3
together 1
torfin 1
trasamund 1
tribal 1
ulric 1
up 1
when 1
who 1
with 2
wizard 1
