3185806
/m/08xw3x
/m/08xw3x
Daniel Quinn
2000
{"/m/05h83": "Non-fiction", "/m/05hgj": "Novel"}
1 2
2 2
a 22
abandoned 2
abandoning 1
abandonment 2
about 2
accord 1
according 1
accusations 1
act 1
activist 1
activities 2
addition 1
addresses 1
admit 1
admits 1
affluence 1
after 1
afterlife 1
against 2
agriculturalism 1
aid 1
aims 1
all 5
already 2
also 10
alternate 2
alternative 1
altogether 1
among 1
an 6
analogy 1
and 29
answering 1
answers 1
any 3
apart 1
are 4
argue 1
argues 2
arguing 1
around 1
arrangements 1
articulates 1
as 6
assumed 1
at 3
attain 1
away 1
b 1
back 1
bad 1
based 1
be 6
beautiful 1
because 2
been 1
before 3
begin 1
beginning 2
believes 2
belonging 1
best 1
between 1
beyond 2
body 1
book 3
both 1
brings 2
build 1
but 9
by 10
can 1
cannot 2
capacity 1
cause 1
caves 1
chapterlike 1
choice 1
chronicles 1
circumstance 1
circumstances 1
circuses 1
city 1
civilization 7
civilized 1
claimed 1
claiming 1
claims 2
clarifies 1
clarifying 1
clearly 1
closedminded 1
cohesion 1
comments 1
common 1
commune 1
communes 1
community 1
compared 1
concept 1
concludes 1
condition 1
conditions 1
considers 1
contains 1
continue 3
cost 1
could 1
creating 2
criticisms 1
cultural 1
culture 9
cultures 1
current 1
currently 1
dawkinss 1
defend 1
demand 1
democratically 1
demonizing 1
departure 1
deranging 1
despots 1
detail 1
development 1
discourse 1
discusses 1
dispels 1
displeasure 1
dissolve 1
distinction 1
distress 1
divided 1
diving 1
do 3
does 3
dumpster 1
each 3
easily 1
east 1
easy 1
effort 1
encourages 2
end 1
endeavors 1
ending 2
enlightenment 1
environment 1
essentially 1
etc 1
ethnicity 1
even 2
event 1
events 1
ever 1
example 3
examples 1
expands 2
experience 1
explain 1
explores 1
exploring 1
expression 1
failing 1
fails 1
failures 1
fallacy 1
favor 1
feed 1
feel 1
few 2
finds 1
first 1
focuses 1
food 2
foolish 1
for 10
force 1
form 1
formulate 1
from 6
frustrate 1
fulltime 1
function 1
further 2
general 1
gives 1
go 1
goes 1
greater 1
groups 1
growing 1
harm 2
has 1
have 4
having 3
he 30
heading 2
help 1
hierarchal 1
hierarchalism 1
hierarchy 3
highest 1
him 1
hindering 1
his 6
historical 1
historically 1
history 1
homeless 3
homelessness 2
hope 1
hopes 1
house 1
how 3
humans 1
idea 4
ideals 1
ie 1
if 2
ignoring 1
improve 1
improvement 1
in 21
incites 1
including 2
incremental 1
indicators 1
individual 1
individuals 2
infallible 1
inherently 1
interests 1
into 4
introduces 1
involve 1
is 20
it 7
its 2
itself 2
justify 1
justworld 1
knowing 1
lack 1
lead 1
let 1
life 1
like 1
likewise 1
listening 1
little 2
live 7
livemdashthe 1
living 3
local 1
look 1
main 1
majoritys 1
makes 2
makeshift 1
making 2
many 3
masses 1
matter 1
maximum 1
maya 1
mean 1
members 1
meme 1
memes 1
merely 2
merges 1
minds 2
modernday 1
more 3
most 2
motto 1
mountain 1
move 1
moved 2
moving 1
must 4
natural 2
nature 1
need 1
never 2
new 5
news 1
newspaper 1
no 11
not 11
obligations 1
occupational 1
of 38
officials 1
often 3
old 1
olmec 1
on 7
one 9
open 1
oppressors 1
or 6
order 1
organizations 1
originated 1
others 3
our 13
out 1
outlawing 1
outside 1
overlook 1
overlooked 1
overthrow 1
own 8
page 1
paradox 1
paragraphs 1
parks 1
particular 1
parts 1
passage 1
patterns 1
peculiar 1
people 8
perfect 1
perform 1
perpetuating 1
personal 1
philosophy 1
place 1
playing 1
pleasant 1
point 1
points 1
possibility 1
power 1
practicing 3
precedents 1
prefers 1
primarily 2
problems 1
programs 2
proposes 3
provide 1
provides 2
pyramidbuilding 2
pyramids 1
questions 2
quinn 12
quotations 1
racism 1
range 1
rather 3
reader 2
realized 1
reasons 2
rebellion 1
refers 1
regarded 1
remaining 1
reminisces 1
repeatedly 1
represent 1
resist 1
resolve 1
results 1
return 1
revolution 3
richard 1
rid 1
right 6
rises 1
saved 1
say 1
says 1
school 1
see 3
selection 2
selfdestructive 1
sense 2
set 1
seven 1
sexism 1
shared 3
shelters 1
shootings 1
should 1
show 1
shows 1
shuffles 1
signs 1
similar 1
simply 2
since 1
single 1
situations 1
social 2
societies 1
society 3
some 1
somehow 2
something 2
spears 1
speculates 1
spiritual 1
starting 1
states 3
stating 1
still 2
story 3
strong 1
successes 1
successful 3
such 2
suicides 1
survival 3
survivalbased 1
symptoms 1
system 4
tactics 1
take 1
technique 1
teenager 1
temporarily 1
terms 1
than 4
that 26
the 51
their 10
them 5
themselves 2
there 3
therefore 1
these 4
they 7
think 1
this 6
those 1
three 2
through 2
thwart 1
time 3
to 51
today 1
together 4
told 1
topic 1
toward 2
transcendence 1
transform 1
traveling 1
tribal 6
tribalism 4
tribalist 1
tribally 1
tribe 1
tribelike 2
tribes 6
tried 1
true 1
trying 2
two 1
typical 1
under 1
understand 1
unlike 2
up 1
upheaval 2
upon 2
us 1
use 1
uses 1
violent 1
visible 1
vision 3
wait 1
walking 1
wants 1
wasting 1
way 12
waymdashand 1
what 1
when 3
which 6
while 1
who 6
whole 1
whose 1
will 2
with 8
within 2
work 1
workable 2
working 3
world 1
worlddestructive 1
worlddominating 1
would 2
writing 1
young 1
your 1
youth 1
