3982821
/m/0b9zk6
/m/0b9zk6
Ted Dekker
2006
a 11
advice 1
alabama 2
all 3
an 2
and 8
another 2
are 2
as 4
avoid 1
backwoods 1
barsidious 1
begin 1
begins 1
being 1
betty 1
bitter 1
but 1
by 2
can 1
check 1
chimney 1
counseling 1
couple 2
dating 1
daughter 1
dawn 1
death 1
deserted 1
dinner 1
dirt 1
divorce 1
down 3
driving 1
each 1
family 3
find 1
flattening 1
fortunately 1
frantically 1
get 2
go 1
god 1
has 1
have 1
he 3
head 1
her 2
highway 1
his 1
hounding 1
house 3
however 1
ice 1
in 5
inn 1
inside 1
it 1
jack 1
just 1
keeps 1
kill 1
killed 1
killer 1
leslie 2
lights 1
locks 1
long 1
lost 1
make 1
man 1
married 1
mask 1
matters 1
members 1
message 2
more 1
move 1
murder 1
mysterious 1
named 1
near 1
new 1
occupied 1
of 11
off 1
old 1
on 3
one 3
over 1
own 1
patrolman 1
people 1
pete 1
randy 1
road 2
room 1
run 1
scrawled 1
serial 1
session 1
seven 1
singleton 1
soup 1
spikes 1
staring 1
states 1
stating 1
stephanie 2
stranding 1
strangely 1
struggling 1
taking 1
that 2
the 14
their 3
them 4
themselves 1
then 1
they 6
things 1
three 1
through 3
throws 1
tires 1
to 5
trapped 1
trying 1
turn 1
unless 1
used 1
verge 1
victorian 1
wants 1
well 1
when 1
where 1
while 1
white 1
wife 1
will 1
with 2
worse 1
