186347
/m/019ggv
/m/019ggv
Tom Taylor

a 10
abel 1
able 1
about 4
accepted 1
advises 1
after 1
agent 1
ago 2
alcoholic 1
all 1
also 1
alternately 1
america 2
amused 1
an 3
and 22
angrily 1
apologize 1
appalled 1
are 2
aristocratic 1
arrive 1
as 3
asa 19
assignment 1
at 4
attentive 1
attracted 1
augusta 4
bailiffs 1
bankruptcy 1
baronet 1
be 4
beau 1
beauty 1
been 5
binny 1
branch 1
bring 1
brother 1
burned 1
burns 1
but 5
butler 1
by 3
can 1
care 1
centuries 1
changed 1
children 2
choice 1
circumstances 1
claim 1
clerk 1
clothed 1
coarse 1
colourful 1
concealing 1
confronts 1
country 1
courting 1
cousin 2
cousins 2
coyle 13
currently 1
dairy 2
daughter 2
debt 2
debts 1
demands 1
detests 1
discovers 1
disinheriting 2
do 1
doesnt 1
doubtless 1
dousing 1
drawing 1
drinking 1
dundreary 3
each 1
earlier 1
edward 3
emigrated 1
employer 1
end 1
england 3
english 2
estate 3
even 1
eventually 1
evidence 1
faces 1
family 2
father 2
fibs 1
financial 1
florence 12
for 2
force 1
forthright 1
fortune 2
found 2
from 2
fully 1
gains 1
georgina 2
get 1
good 2
granddaughter 1
grandfather 3
great 1
had 6
happily 1
harry 4
has 6
he 10
heir 1
help 2
her 12
hero 1
herself 1
higher 1
him 2
himself 3
his 10
honestly 1
hopes 1
humble 1
if 1
ill 1
illgotten 1
imbecilic 1
in 6
insists 1
instead 1
intends 1
into 2
is 14
it 2
late 2
leaving 1
left 3
letter 1
lieutenant 1
little 1
loan 3
long 1
loves 3
made 1
maid 1
making 1
manor 4
mark 4
marriage 1
marries 3
marry 4
mary 8
may 1
means 1
meanwhile 4
meets 1
meredith 1
met 1
might 1
mind 1
moreover 1
mountchessington 3
moved 1
mrs 3
murcott 5
must 1
named 1
navy 1
ned 3
needs 1
no 2
nobleman 1
noisy 1
not 1
now 1
of 8
off 2
offers 1
office 1
old 4
on 1
one 1
other 2
others 1
out 1
overhears 1
paid 2
paper 1
pay 1
persuade 1
pleased 1
points 1
poor 2
presumably 1
pretending 1
progresses 1
promptly 1
proof 1
property 1
propose 1
proposes 1
purpose 1
quite 1
raised 1
rank 1
receives 1
related 1
remark 1
repaid 1
repay 1
resignation 1
retrieves 1
richard 1
rogue 1
room 1
royal 1
rude 1
rustic 1
sailing 1
satisfied 1
savage 1
saying 1
says 1
servants 2
she 4
ship 2
shower 1
shows 1
sir 3
sneaks 1
so 1
social 1
some 1
sons 1
stands 1
states 1
status 1
staying 1
steward 2
still 1
stop 1
suggests 1
tale 1
tell 1
tells 4
that 17
the 28
their 1
them 2
then 1
these 1
they 2
this 4
to 31
trenchard 10
trenchards 1
tries 1
true 1
try 1
trying 1
tutor 1
two 1
unable 1
uncle 1
understand 2
unfamiliar 1
unhappy 1
united 1
unless 1
until 1
up 2
uses 1
vermont 4
vernon 1
very 1
visit 1
vows 1
vulgar 1
warns 1
was 1
ways 1
wealthy 1
what 1
when 1
while 1
who 4
wile 1
will 3
with 4
would 1
years 1
you 2
young 1
