5537342
/m/0drgw0
/m/0drgw0
Mike Resnick

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
13th 1
a 14
abandon 1
about 3
accomplice 1
advantage 2
adventure 1
after 2
against 1
agrees 1
all 1
allies 1
already 2
also 1
alternative 4
an 6
and 16
animal 2
animals 1
appears 2
are 2
as 3
at 3
auction 1
away 1
basement 1
be 3
become 1
before 1
begins 1
between 3
blackmailed 1
both 2
bottle 1
building 1
business 1
but 1
by 2
california 1
called 2
cannot 1
cards 1
carruthers 2
catgirl 1
catlike 1
caught 1
central 1
cheap 1
cities 1
clients 1
close 1
closes 1
colonel 4
comes 2
completely 1
contact 1
content 1
continue 1
craving 1
creature 1
crime 3
culprit 1
danger 1
dare 1
dead 2
decides 1
delivers 1
demon 2
despite 1
detective 5
detectives 1
determined 1
dissuade 1
does 2
due 1
duty 1
elf 1
elfs 1
enable 1
encounters 1
end 1
enemy 1
enter 1
eohippus 3
equally 1
eve 1
ever 1
evil 2
examines 1
expert 1
eyewitness 1
felina 3
find 2
finds 2
flat 1
floor 1
follow 1
for 7
former 1
found 1
free 1
freely 1
friends 1
from 3
full 1
further 1
future 1
gain 1
gate 2
gillespie 2
gillespies 1
gives 1
goods 1
gradually 1
great 1
grundy 7
guard 1
had 1
has 6
have 2
having 2
havoc 1
he 10
head 2
help 1
helps 1
her 1
hidden 1
him 4
his 10
history 1
horse 1
hotel 1
huntress 1
in 15
inform 1
information 1
infuriated 1
intention 1
into 1
investigation 2
investigator 1
invitation 1
is 9
it 3
jewel 2
just 1
kill 1
larkspur 1
left 1
leprechaun 2
letting 1
life 1
long 1
loyal 1
magician 1
makes 1
mallory 10
mallorys 6
meantime 1
meets 2
mephisto 1
mood 1
more 3
motives 1
move 1
mrgenstrm 4
museum 1
mysterious 1
natural 1
neglected 1
nevertheless 1
new 7
night 1
no 2
noble 1
not 2
now 1
obliged 1
occupied 1
of 13
offering 1
office 3
on 3
only 2
other 1
out 6
over 1
park 1
partner 2
partners 1
passage 1
perilous 1
personality 1
places 1
plot 1
power 1
powerful 1
precious 1
private 1
promises 1
ran 1
reaches 1
receives 1
regularly 1
responsible 1
reveals 1
revenge 1
reviving 1
room 1
ruby 3
same 1
scene 1
search 3
seems 2
sense 1
serious 1
service 1
sets 1
she 1
side 1
since 2
sixinch 1
so 1
sold 1
some 1
soon 1
spends 1
spreading 1
stay 1
steps 1
still 1
stolen 2
strange 1
struggle 1
such 1
suddenly 1
sure 1
take 1
takes 1
taking 1
tall 1
tells 1
terrible 1
than 2
that 8
the 62
their 1
then 1
there 2
they 1
through 1
time 1
to 20
too 1
tragically 1
transported 1
tries 1
trouble 2
truth 1
turn 1
turns 2
two 3
unexpected 1
unicorn 4
unicorns 2
unlike 1
until 1
up 1
useless 1
valuable 2
various 1
very 1
victim 1
victims 1
visits 1
wait 1
wants 1
was 2
way 2
when 1
where 2
whether 1
which 2
whisky 1
who 4
wholesalers 1
wife 1
will 2
winifred 1
with 4
work 1
working 1
world 1
worlds 3
would 1
wreak 1
years 1
yet 3
york 5
yorks 1
