5624540
/m/0dwycj
/m/0dwycj

2005-10
{"/m/01jfsb": "Thriller"}
a 6
accompany 1
agent 2
agents 1
all 2
america 1
an 1
and 4
bauer 3
be 1
been 1
bit 1
break 1
breaks 1
caitlin 1
chaos 1
chappelle 1
complicated 1
conspiracy 1
could 1
crashes 1
deadly 1
down 1
fbi 2
for 1
frames 1
frank 2
from 1
government 2
has 3
he 1
help 1
helping 1
hensley 2
highly 1
his 1
in 1
iraqi 1
irish 1
jack 4
la 1
later 1
leads 1
loose 1
mission 1
murder 1
must 2
of 4
officials 1
order 1
other 1
plane 1
potentially 1
prisoner 1
problem 1
recent 1
recruit 1
release 1
revealed 1
ryan 1
skill 1
some 1
stolen 1
subsequently 1
that 2
the 6
to 4
trouble 1
two 1
use 1
virus 1
was 1
weapon 1
who 1
whole 1
with 1
women 1
