22229489
/m/05q4r3w
/m/05q4r3w
David Gemmell
1996-04
2000 1
4 1
a 15
affairs 1
after 2
alchazzar 1
and 7
any 1
are 4
army 1
arrive 1
arrives 1
as 2
at 1
attempt 1
back 2
became 1
before 2
begins 2
blazing 2
book 2
but 1
call 1
called 2
calls 1
can 1
captivity 1
centuries 1
claims 1
combat 1
comes 1
considered 1
course 1
crossbow 1
day 1
days 1
defend 1
defense 3
delnoch 2
destroy 1
died 1
do 1
doing 1
dros 2
druss 8
due 1
during 3
energy 1
even 1
events 1
eyes 3
fallen 1
few 1
find 3
flows 1
force 1
fortress 1
found 1
friend 3
from 3
gems 1
gothir 6
great 1
guidance 1
had 1
has 3
he 10
heal 2
help 2
helps 1
hero 1
him 5
hired 1
his 6
hoping 1
hospice 1
how 2
however 1
in 9
involved 1
is 5
it 1
jewels 4
kill 1
killed 1
king 1
klay 2
land 3
learn 2
leaving 1
left 1
legend 1
life 2
lose 1
made 1
magic 1
man 1
many 1
meeting 1
men 2
mortally 1
must 1
mystic 1
nadir 10
name 1
not 1
novel 1
of 17
on 4
opposing 1
ordered 1
oshikai 2
paralyzed 1
past 1
political 1
present 1
prophecy 1
purple 1
quest 1
refuses 1
released 1
return 1
returning 1
reveals 1
saddened 1
send 1
shot 1
shrine 4
shulsen 1
sick 1
sides 1
sieben 2
smashes 1
so 1
soldier 1
spine 1
spirit 2
storm 1
story 1
takes 1
talisman 4
tell 1
tells 1
that 6
the 45
them 1
then 3
there 2
they 4
this 3
those 1
though 1
through 1
to 19
told 1
tournament 1
trained 1
travelled 1
travels 2
tribes 3
turning 1
ulric 2
ulrictalisman 1
unable 1
under 1
unite 1
uniter 1
unleashes 1
violet 1
warfare 1
warrior 2
we 1
were 1
when 1
where 3
which 2
who 1
wife 1
will 1
with 3
withdraw 1
wound 1
wounded 1
young 1
