16483818
/m/03y8bvb
/m/03y8bvb
David Gemmell
2000-10-03
a 8
again 1
aided 1
an 2
and 6
antihero 1
appearance 1
assassin 1
atonement 1
become 1
braggart 1
broken 1
by 4
cannot 1
cause 1
chapter 1
close 1
created 1
crimes 1
crossbow 1
demons 1
destroying 1
easily 1
enemies 2
even 1
evil 1
faced 1
fight 1
followers 1
for 3
forced 1
from 2
girl 1
give 1
hand 1
has 1
he 4
her 1
him 1
his 5
however 1
idealistic 1
ii 1
is 3
life 1
looking 1
magical 1
man 1
mysterious 1
now 1
of 3
old 2
once 1
own 1
past 1
peace 2
present 1
priestess 1
quiet 1
relatively 1
rich 1
sabre 1
seeks 1
sorcerer 1
special 1
stolen 1
sword 1
take 1
talent 1
that 1
the 6
to 3
unknown 1
up 1
warrior 1
waylander 4
will 1
with 3
working 1
world 1
