333987
/m/01x7ng
/m/01x7ng
Mikhail Bulgakov

{"/m/05hgj": "Novel", "/m/06nbt": "Satire", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/011ys5": "Farce"}
130s 1
a 18
abaddon 1
abadonna 1
abbreviation 1
about 1
affinity 1
alias 1
alike 1
all 1
along 1
also 2
alternates 1
among 1
an 3
and 36
anointed 1
another 2
apartment 1
appreciate 1
are 3
arrive 1
arrives 1
as 7
association 1
asylum 1
at 3
attempt 1
author 1
awaits 1
azazel 1
azazello 5
back 1
ball 3
basement 1
bassoon 1
bathes 1
be 2
become 1
behemoth 1
belief 1
beloved 1
berlioz 4
between 2
bezdomniy 1
biblical 1
black 1
book 1
boots 1
breaking 1
brushes 1
bureaucracy 1
bureaucrats 2
burn 1
burns 1
but 4
by 8
calls 1
capture 1
capturing 1
cat 1
celebrities 1
chance 1
chase 1
chooses 2
chosen 1
christ 2
citing 1
civilization 1
coincides 1
come 1
concerns 1
condemned 1
confrontation 1
control 1
corrupt 1
could 2
crucified 1
cupolas 1
dante 1
dark 1
deals 1
death 3
deathinflicting 1
deep 1
deepest 1
defends 1
denied 1
depiction 1
described 1
deserving 1
desires 1
despair 3
devil 2
devoted 1
die 2
direct 1
dreams 1
dressed 1
drink 1
earned 1
easter 1
echoed 1
elite 1
embittered 1
english 1
enters 1
enthusiastic 1
enthusiastically 1
episodes 1
escort 1
eternal 2
eternity 2
events 1
every 1
evil 1
exacting 1
exchoirmaster 1
execution 1
fagotto 2
faith 1
fanged 1
fasttalking 1
fate 1
finally 2
find 1
first 4
flies 1
fly 1
for 9
foreign 1
forests 1
free 1
freedom 1
friday 1
from 4
fulfillment 1
full 1
futile 1
gang 1
generally 1
gentleman 2
glories 1
good 1
grant 1
granted 1
grants 1
great 1
greed 1
griboedov 1
griboyedov 1
grotesquely 1
group 1
guise 1
gullibility 1
gunhappy 1
had 1
handkerchief 2
hanotsri 1
have 1
having 2
havoc 1
he 3
head 1
heaven 1
hell 2
hella 1
her 16
here 1
him 3
hinting 1
hippopotamus 1
his 14
historical 1
history 1
hitman 1
homeless 1
hostess 1
house 1
housesatan 1
hq 1
human 2
humanity 1
in 18
include 1
includes 1
including 1
interpretable 1
into 2
introduced 1
introduces 1
invited 1
is 13
it 2
italian 1
its 3
ivan 3
jerusalem 2
jesus 1
just 1
koroviev 1
lands 1
languages 1
late 1
later 4
learning 1
leave 1
led 1
liberate 2
life 1
light 1
like 1
limbo 1
linked 1
literary 3
literature 1
live 1
lost 1
lotsalit 1
love 1
lover 2
lunatic 1
lying 1
magic 1
magician 1
maid 1
major 1
manifestations 1
manuscript 1
margarita 9
masses 1
massolit 3
master 10
means 2
mentions 1
met 1
metaphorical 1
midnight 1
mischievous 1
mistress 1
mistresses 1
modern 1
monster 1
moon 1
moonbeam 1
more 1
morning 1
moscow 4
mouth 1
mysterious 2
naked 1
name 3
natasha 1
nature 1
nazarene 1
need 1
neither 1
new 1
newborn 1
night 2
nightstand 1
nor 1
not 4
novel 9
of 28
off 1
offers 3
on 4
once 1
one 2
only 1
opens 1
or 2
ordeal 1
origin 1
other 1
out 1
over 1
own 2
pages 2
pains 1
palefaced 1
parallel 1
part 3
passions 1
path 1
peace 1
pettyminded 1
physical 1
pilate 7
play 1
pleasant 1
poems 1
poet 1
poisoned 1
pontius 7
ponyrev 1
portrait 1
possibly 1
povertystricken 1
powers 2
privileged 1
professor 1
profiteers 1
prophecy 2
prophetic 1
punishment 3
punishments 1
puss 1
raped 1
real 1
realm 1
reawakens 1
recognition 1
reference 1
referring 1
refuses 1
region 1
rejection 1
released 1
reluctant 1
resigned 1
retinue 2
retribution 1
retrieve 1
returns 1
reveals 1
rich 1
rivers 1
russian 3
same 2
satan 5
satirical 1
satirizing 1
sealed 1
second 2
selflessly 1
sent 1
setting 2
settings 1
shadowy 1
she 6
show 1
side 1
similar 1
since 1
skeptical 1
socialclimbers 1
something 1
sovietstyle 1
spend 1
spirit 1
spiritual 1
spring 2
standing 1
stare 1
stuffing 1
submission 1
subversive 1
such 1
suffocated 1
sun 1
supernatural 1
survives 1
taking 1
talking 1
targets 1
telling 1
that 5
the 69
theatre 1
their 7
them 2
they 3
this 7
though 1
three 2
to 25
together 1
trade 1
translated 1
translation 1
trial 1
true 1
turns 1
two 2
unbelievers 1
unbelieving 1
uncertain 1
under 1
union 1
unleashed 1
unrelated 1
up 2
urbane 1
use 1
ussr 1
valet 1
vanity 1
variety 1
violent 1
visited 1
voland 1
wake 1
walk 1
warn 1
was 3
watches 1
way 1
welcomes 1
when 2
where 2
which 2
who 5
whom 1
whose 1
will 1
windows 1
wine 1
wish 4
witch 2
with 12
without 2
witnessed 1
wives 1
woland 6
woman 3
women 1
word 2
words 1
work 1
world 1
wreaked 1
writers 1
writes 1
yeshua 5
yet 1
young 1
