3134175
/m/08tmtv
/m/08tmtv
Edward Albee

a 7
action 1
all 1
an 1
and 11
angry 1
announces 1
another 1
are 2
as 1
at 1
audience 1
away 1
be 1
becomes 1
begins 1
behind 1
being 1
bench 4
bleeding 1
bringing 1
brings 1
brought 1
but 1
by 2
catalyst 1
cats 1
central 1
characters 1
charges 1
city 1
climax 1
combination 1
concerns 1
conversation 1
could 1
couldnt 1
daughters 1
decides 1
defensively 1
desperate 1
did 1
disheartened 1
dog 1
down 1
dramatic 1
drops 1
dying 1
elements 1
ending 1
executive 1
fight 1
finishes 1
for 3
forcing 1
from 1
front 1
going 1
grab 1
have 3
he 1
him 3
himself 1
his 5
holds 1
home 1
horrified 1
human 1
humor 1
i 5
immediate 1
impales 1
in 3
initiative 1
interrogating 1
into 1
intrudes 1
ironic 1
is 4
isolated 1
it 2
jerry 10
knife 3
level 1
like 1
linear 1
listen 1
man 1
meaningful 1
meet 1
men 1
middleclass 1
mimicry 1
must 1
new 1
no 2
of 4
off 1
ohmygod 1
on 6
oneact 1
own 1
parakeets 1
park 3
peaceful 1
peter 9
peters 1
planned 1
play 1
present 1
publishing 1
pulls 1
pushing 1
real 1
really 1
reason 1
runs 1
same 1
savage 1
scornful 1
shocking 1
state 1
stories 1
story 2
supplication 1
suspense 1
territory 1
the 16
then 1
these 1
think 1
this 2
time 2
to 8
transpires 1
two 4
unexpectedly 1
unfolding 1
unrelenting 1
victim 1
visit 1
when 3
whose 1
wife 1
with 2
words 1
york 1
zoo 2
