26148260
/m/0b6g0r0
/m/0b6g0r0

2002
{"/m/02rx5hc": "Treatise"}
a 2
actions 1
aims 1
analysed 1
and 3
are 1
as 3
aspects 1
at 1
author 1
bahram 1
been 1
beings 1
book 1
books 1
bringing 1
by 2
conceived 1
concepts 1
concise 1
conditions 1
consequences 1
dealing 1
developed 1
elahi 1
elahis 1
essence 1
etc 1
forth 1
handbook 1
has 1
human 1
in 2
major 1
mans 1
mentioned 1
more 1
of 6
ostad 1
other 1
our 1
out 1
perfection 1
philosophy 1
practical 1
preface 1
presents 1
principles 1
process 1
resulting 1
sets 1
specificity 1
stated 1
subjects 1
such 1
system 1
the 10
this 1
thoroughly 1
thought 1
toward 1
which 1
with 1
work 1
