17204667
/m/043ml7_
/m/043ml7_
John Updike
2008
{"/m/05hgj": "Novel"}
a 1
after 3
agree 1
alexandra 5
all 2
also 1
an 1
and 8
aneurysm 1
aorta 1
as 1
at 1
because 1
become 1
been 2
begin 1
both 1
brother 1
but 1
by 1
canadian 1
cancer 1
cavorted 1
china 1
christopher 2
complaining 1
condominium 1
conducting 1
darryl 1
death 1
devil 1
died 1
dies 1
doesnt 1
earlier 1
eastwick 4
egypt 1
electric 1
electrons 1
fallen 1
first 1
for 1
friendship 1
from 1
gabriel 1
gradually 1
guilt 1
had 3
have 1
he 2
her 2
him 1
horne 5
husband 1
in 1
involving 1
island 1
jane 4
jenny 2
kill 1
killed 1
largely 1
learn 1
learned 1
leaving 1
left 1
lover 1
magic 1
manhattan 1
mansion 1
marriage 1
metastasized 1
methods 1
mexico 1
moves 1
new 1
next 1
odd 1
of 9
old 1
one 2
other 1
out 2
ovarian 1
part 1
passed 1
physics 1
plans 1
possibly 2
previously 1
quantum 1
remarried 1
rented 1
restore 1
returns 1
revisit 1
rhode 1
rival 1
rockies 1
role 1
romantic 1
rougemont 1
second 1
seduces 1
settled 1
she 1
shocks 1
shortly 1
since 1
smart 1
spell 1
spofford 1
suddenly 1
sukie 4
terrorized 1
that 1
the 6
their 5
they 3
thirty 1
three 2
to 6
touch 1
touring 1
town 1
two 1
unspoken 1
using 1
van 5
where 1
while 1
white 1
who 3
widowed 1
witchcraft 1
witches 1
with 4
women 1
years 1
