19150589
/m/04lgd33
/m/04lgd33
Maria V. Snyder
2006-10
{"/m/01hmnh": "Fantasy"}
a 16
abilities 2
ability 1
about 1
academy 2
accompany 1
accord 1
act 1
advise 1
after 1
alive 1
along 1
also 1
ambused 1
an 3
and 21
anger 1
another 2
are 4
arrived 1
as 8
assassin 1
assassinations 1
assists 1
at 3
back 2
banter 1
basics 1
be 1
beaten 1
because 2
becomes 1
before 4
beginning 1
belief 1
believe 1
between 2
bodies 1
breaks 1
briefly 1
bring 1
brings 1
brother 3
but 5
by 2
cahil 4
can 1
capture 1
chains 1
child 1
clan 2
come 1
comes 1
commander 4
complete 1
council 1
countries 1
day 1
days 1
deal 1
death 2
declaring 1
delegation 2
despises 1
despite 2
differences 1
discovering 1
discovers 1
disguise 1
do 1
doing 2
during 2
eleven 1
escapes 1
essentially 1
falling 1
fend 1
ferde 1
fight 2
finally 1
first 1
for 5
forced 2
fourth 1
from 2
girls 1
give 1
goes 1
going 1
group 1
has 5
have 1
he 5
headed 1
heir 1
help 3
helping 1
her 29
herself 1
him 3
himself 1
his 6
home 1
horror 1
however 2
if 1
immunity 1
in 11
inability 1
inadvertently 1
influencing 1
information 1
innocence 1
instead 1
intends 1
intermediary 1
irys 2
is 12
ixia 6
ixian 1
joins 1
keeps 1
kidnapped 1
killed 1
killer 4
last 1
later 1
leaves 1
leaving 1
left 1
leif 3
life 1
likely 1
link 1
long 1
longer 1
lost 1
love 2
magic 6
magical 2
magician 4
magicians 1
man 1
manages 1
many 2
may 1
meet 1
meets 1
mentor 1
methods 1
mind 2
missed 1
moon 1
mostly 1
movements 1
must 1
named 1
natural 1
needs 1
nickname 1
night 1
no 1
not 4
of 14
off 3
offers 1
older 1
on 2
once 1
one 1
only 3
original 1
out 2
over 1
own 5
parents 2
people 2
place 1
powerful 1
prevents 1
promises 1
protests 1
prove 1
purposes 1
raped 1
rapes 1
real 1
recuperating 1
reluctant 1
relying 1
remember 1
request 1
retreat 1
return 2
returns 1
revoke 1
right 1
rightfully 1
rogue 1
rogues 1
roze 1
same 1
saving 2
sentence 2
serial 2
several 1
she 12
since 1
sister 1
sitia 1
so 3
soldiers 1
sole 1
soulfinder 2
souls 2
spends 1
spy 4
start 1
states 1
still 2
stole 1
story 1
strike 1
such 1
suspected 1
take 1
taken 2
takeover 1
talent 1
tells 1
that 6
the 32
their 2
them 4
there 1
they 5
things 1
think 1
this 1
though 2
threat 1
throne 1
times 1
to 29
together 1
train 1
training 4
tries 1
troop 1
twelfth 1
two 1
unstable 1
upon 1
used 1
user 2
valek 5
very 1
wants 2
was 2
way 2
weaver 1
welcoming 1
well 2
what 1
when 2
who 7
willingly 1
with 5
women 1
work 1
world 1
wrath 1
yelena 15
young 1
zaltana 1
