11320975
/m/02r7m03
/m/02r7m03
Nevil Shute

a 16
accepted 1
actress 1
adulterous 1
affair 1
after 1
aircraft 1
an 2
and 11
as 1
aspects 1
assist 1
asylum 1
at 3
attempt 1
attendants 1
awry 1
become 2
been 3
before 1
between 1
birth 1
brenda 2
by 3
child 1
civil 1
clarke 4
closes 1
coming 1
commercial 1
commits 1
concerns 1
conrad 1
crashed 1
crashing 1
custody 1
dangerous 1
daughter 3
deliberately 1
died 1
divorce 2
do 1
doctor 1
dreams 1
during 2
efforts 1
embroiled 1
enamoured 1
end 1
engaged 1
few 1
fighter 1
filed 1
final 1
flight 1
fly 1
flying 1
for 1
former 1
framing 1
from 3
go 1
great 1
had 5
has 4
he 3
hearing 1
help 1
her 4
his 6
hollywoodand 1
house 2
husband 2
in 9
injured 1
is 3
it 1
johnnie 1
land 1
later 2
learn 3
learns 1
lies 1
life 3
light 1
like 1
local 1
making 1
marriage 1
married 1
marshall 2
mental 1
mentor 1
military 1
mountainous 1
narrator 2
night 2
not 1
of 13
offers 1
often 1
one 1
only 2
opening 1
opens 1
part 1
pascoe 11
periodically 1
pilot 3
pilotshortly 1
plane 1
plight 1
proposes 1
rainbow 1
refused 1
region 1
request 1
rescue 2
resting 1
retired 1
role 1
ronnie 2
rose 1
scene 1
school 1
seems 1
sent 1
separated 1
she 2
shifts 1
shute 1
small 1
sole 1
story 5
succeed 1
successful 1
suicide 1
tasmania 1
taught 1
tell 1
that 5
the 18
their 1
there 1
they 1
things 1
this 1
to 9
touching 1
try 1
unconscious 1
up 1
upperclass 1
uses 1
war 2
was 1
we 1
when 1
whilst 1
who 2
whose 1
wife 1
with 3
woman 3
years 1
young 1
younger 1
