6142983
/m/0fsd0q
/m/0fsd0q
Thomas Dekker
1599
a 5
able 1
again 2
agreed 1
agrees 1
amputated 1
an 1
and 11
another 1
appearance 1
apprentice 1
apprentices 1
appropriately 1
approve 1
aristocrat 1
army 1
as 1
attempts 2
avoid 1
away 1
based 1
be 3
because 1
becomes 1
been 1
beyond 1
both 1
but 5
buy 1
by 1
cannot 1
choice 1
claiming 1
class 3
classes 1
comes 1
company 1
create 1
dead 1
decides 1
defending 1
difference 1
disguises 1
dismay 1
distraught 1
document 1
does 1
dutch 1
eccentric 1
else 2
ends 1
enjoys 1
ever 1
eyre 2
falls 2
false 1
fathers 2
fighting 1
find 2
finds 1
first 1
for 1
france 1
from 2
further 1
gentleman 1
girl 1
given 1
goes 1
going 1
great 1
hammon 3
hans 1
hardworking 1
has 1
having 1
he 10
her 8
him 1
himself 2
his 6
holiday 1
honour 1
husband 2
if 1
in 4
interested 1
is 7
jane 3
joining 1
king 2
knighting 1
lacy 1
lady 1
later 3
legs 1
lifestyle 1
locates 1
london 1
lord 1
love 3
made 2
mannerisms 1
marriage 1
marries 1
marry 3
match 1
matched 1
may 2
mayor 1
meanwhile 1
middle 1
more 1
not 1
oatley 1
of 5
off 1
on 1
once 2
persuades 1
place 1
play 2
position 1
ralph 4
redeem 1
refuse 1
refuses 1
returns 2
rose 4
rowland 5
says 1
secretly 1
see 1
sent 1
she 5
sheriff 1
shoe 1
shoemaker 2
shown 1
simon 2
so 1
social 2
someone 2
special 1
spendthrift 1
strange 1
suspects 1
take 1
that 6
the 11
their 3
then 1
this 2
to 16
told 1
tradesman 1
uses 1
war 2
when 2
while 2
wife 2
will 1
with 4
woo 1
