3603752
/m/09pb7q
/m/09pb7q
Christopher Golden
1999-10
a 2
able 1
also 1
an 2
ancient 1
and 6
are 1
as 1
at 1
battle 1
bay 1
be 1
become 1
been 1
before 1
being 1
body 1
buffy 3
but 1
by 2
called 1
cancer 1
chance 1
choice 1
continues 1
course 1
dead 2
deal 1
decide 1
demon 1
dies 1
do 2
drain 1
emanating 1
end 1
especially 1
every 1
extra 1
fact 1
for 1
forms 1
friends 1
from 2
hanover 1
has 4
hatchling 1
hatchlings 1
hellmouth 1
help 1
henchmen 1
her 6
hospital 1
however 1
immortal 2
immortality 1
in 3
into 1
is 4
it 1
keep 1
killed 2
know 1
last 1
lifeforce 1
loses 1
lucy 1
magical 1
most 1
mother 2
nearby 1
need 1
needed 1
newly 1
of 5
on 1
or 1
other 1
performed 1
person 1
possess 1
return 1
revert 1
she 5
sick 1
so 2
souls 1
spirits 1
spot 1
staked 1
stop 1
summoning 1
sunnydale 1
sure 1
surgery 1
that 3
the 13
their 1
them 2
there 1
they 2
theyve 1
time 1
to 9
triumverate 1
triumvirate 1
truly 1
trumverate 1
trying 1
unfortunately 1
until 1
vampire 2
veronique 4
vibes 1
wants 1
where 1
while 1
who 1
with 5
without 1
wont 1
world 1
would 1
