5400608
/m/0dk4y2
/m/0dk4y2
Justin Richards

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
18 1
a 5
about 1
age 1
alien 1
an 1
and 1
are 1
be 1
bizarrely 1
computer 2
dead 1
disc 1
doctor 1
earth 1
events 1
ever 1
expanding 1
from 1
hostage 1
however 1
information 1
is 5
it 2
just 1
killed 1
london 1
man 1
mysterious 1
off 1
plaguing 1
planning 1
prominent 1
race 1
receives 1
resolved 1
seems 1
situation 1
spy 1
supposed 1
take 1
takeover 1
technology 1
that 1
the 2
to 2
using 1
who 1
