3516759
/m/09hwp2
/m/09hwp2
Pierre Christin
2004

a 9
about 2
abyss 2
acting 2
administration 1
after 1
agrees 1
alive 1
allows 1
along 1
among 1
an 3
and 19
appeared 1
are 6
arrest 1
arrive 1
as 7
assistant 1
asteroids 1
at 4
battered 1
be 1
been 1
befriend 1
believe 1
bribing 1
bring 1
bringing 1
business 2
by 3
can 1
captain 1
catching 1
chase 1
closed 1
confesses 1
creatures 1
crew 2
dangerous 1
decide 1
departs 1
down 1
earlier 1
earth 3
edge 2
encounter 1
escape 1
escaped 1
evading 1
expedition 2
exploration 1
factory 3
fellow 1
find 2
finished 1
for 3
force 1
formation 1
free 1
frequently 1
from 3
fulfill 1
gets 1
giant 1
girl 1
give 2
given 1
gives 1
go 2
great 8
guards 1
had 2
happy 1
harassed 1
has 2
have 3
hawking 1
he 1
her 5
him 1
his 1
however 1
if 1
impressing 1
in 7
information 2
interest 1
into 1
is 6
it 1
job 1
join 1
kyga 7
languish 1
laureline 15
let 1
limboz 4
living 1
local 1
located 1
location 2
lost 3
make 3
meet 2
merchandise 1
merchants 1
mounting 1
mysterious 2
needs 1
negotiating 1
not 1
notion 1
of 16
old 2
on 2
one 4
only 3
order 1
orders 2
place 1
planet 1
police 3
ponder 1
port 3
posing 1
present 1
prison 2
prisoners 1
reach 1
realises 1
reality 1
rendezvous 1
reopen 1
reopening 1
return 1
rougha 7
rubanis 3
salesmen 1
schniarfeur 5
selling 1
sentient 1
she 4
ship 2
singha 7
so 1
some 1
somewhere 1
space 2
spacesuit 2
spacesuits 3
still 1
stolen 1
stone 1
stones 1
stops 1
studying 1
sufficiently 1
take 1
takes 2
talking 1
tallies 1
tell 1
tells 1
that 8
the 44
their 7
them 4
there 1
they 8
theyll 1
this 1
to 12
together 1
told 1
too 1
travelling 1
triumvirate 4
truck 1
trying 1
two 1
under 1
universe 1
valrian 15
void 8
voyage 1
wares 1
weapon 1
what 1
when 1
where 1
whether 1
which 2
while 2
who 7
will 1
with 5
wolochs 2
work 1
worked 1
working 1
young 1
