4744829
/m/0cl1ph
/m/0cl1ph
David Gemmell
1992
a 5
after 1
all 2
and 8
as 1
assassins 1
away 1
battlehardened 1
beaten 1
beautiful 1
been 1
belash 1
better 1
blade 1
bodalen 1
bounty 1
bow 1
by 2
caused 1
dakeyras 2
daughter 2
deadliest 1
deadly 1
death 1
deim 1
des 1
father 1
fear 1
fire 1
for 3
friends 1
from 1
gladiator 1
gold 1
good 1
grimeyed 1
group 1
guild 1
harmonious 1
has 2
have 2
head 1
her 4
high 1
his 4
husband 1
in 2
iron 1
is 1
karnak 2
killers 1
known 1
krlestwie 1
krylla 2
life 1
like 1
live 1
looking 1
married 1
members 1
miriel 2
morak 1
mountains 1
moved 1
murdered 1
nadir 1
never 1
no 1
of 11
on 1
one 1
peaked 1
plw 1
put 1
reich 1
senta 1
should 1
sister 1
skeln 1
skilled 1
skills 1
slayer 1
solitude 1
son 1
stalk 1
swordsman 1
task 1
taste 1
taught 1
ten 1
the 10
they 2
this 1
thousand 1
time 1
torture 1
tribe 1
twin 1
warriors 2
waylander 2
while 1
who 1
wilka 1
with 2
wolfes 1
wolfshead 1
woman 1
wooded 1
woodsman 1
yet 1
young 1
