4085876
/m/0bh98d
/m/0bh98d
Yasunari Kawabata
1952
{"/m/05hgj": "Novel"}
a 1
affair 1
after 1
ambiguous 1
and 2
associates 1
becomes 1
been 1
by 1
commits 1
committed 1
daughter 1
death 3
ending 1
father 2
for 1
former 1
fumiko 1
grief 1
has 2
he 1
her 2
his 3
ii 1
in 1
involved 1
is 2
japan 1
kikuji 2
like 1
love 1
mistresses 1
mother 2
mrs 3
much 1
not 1
of 4
one 1
orphaned 1
ota 3
over 1
post 1
protagonist 1
reader 1
seemingly 1
set 1
shame 1
she 1
suicide 2
sure 1
the 7
then 1
to 1
transfers 1
war 1
where 1
whether 1
who 1
with 2
world 1
