622069
/m/02xmhn
/m/02xmhn
Terry Pratchett

a 11
able 1
about 2
accompanies 1
aching 1
across 1
act 1
action 1
actual 1
after 4
age 1
alone 1
along 2
also 1
although 1
an 3
and 17
annagramma 2
annual 1
anybody 1
apprentice 2
are 3
around 1
arrival 2
arrive 1
arthur 1
as 6
at 3
attacked 1
back 1
based 1
be 3
because 2
begrudging 1
bodies 2
body 1
borrows 1
break 1
bring 1
broomstick 1
but 6
by 4
call 1
called 1
camp 1
cannot 1
causes 2
chalk 3
chaos 1
characters 1
cleans 1
close 1
comes 1
condescending 1
confronts 1
copper 1
cottage 4
country 2
dead 1
dealt 1
death 3
decide 1
decides 2
desert 1
die 1
disappeared 1
discovers 3
does 1
doesnt 2
door 1
early 1
elderly 1
encounter 1
ends 1
englands 1
entered 1
escorts 1
event 1
everything 1
exit 1
face 1
fairies 1
fantasy 1
fear 1
feegle 2
feegles 1
few 1
fight 1
fights 1
find 2
finds 3
first 1
for 4
former 1
forth 1
free 1
friends 1
fright 1
from 2
full 1
girl 1
gives 2
goal 1
goes 2
gold 1
grandmother 1
granny 5
group 3
had 1
happened 1
has 4
hat 4
have 1
he 1
head 1
help 1
helped 1
her 27
his 2
hiver 16
home 1
house 1
how 1
humans 1
imaginary 1
in 10
into 2
is 12
isnt 1
it 11
its 1
just 1
killed 1
kills 1
land 1
late 1
leader 1
learned 1
learning 1
leaves 3
left 1
level 4
levels 1
loyal 1
lurks 1
mac 2
maid 1
make 2
many 1
memories 1
mind 7
miss 7
mistress 4
money 2
morning 1
mountains 3
moving 1
mr 2
must 1
nac 2
named 1
names 1
novel 3
observe 1
of 17
off 1
on 4
one 2
only 2
or 1
oswald 1
out 3
over 2
owls 1
own 1
panicking 1
past 1
petulia 1
place 3
pratchett 1
previous 1
previously 1
proceeds 1
pursue 1
put 1
realize 1
rescued 1
returning 1
returns 1
rob 1
room 1
rude 1
runs 1
saved 1
seconds 1
seek 1
seen 1
senses 2
settling 2
she 17
shelter 1
show 1
shows 1
sky 2
smells 1
so 1
some 1
spirit 1
steals 1
still 1
stole 1
take 2
takes 3
teacher 1
teaches 1
telling 1
tells 2
terry 1
that 8
the 49
them 2
then 1
there 1
they 4
tick 2
tiffany 22
time 1
to 27
too 1
town 1
trials 1
try 1
turning 1
turns 2
two 1
twoshirts 1
ultimate 1
understand 1
until 1
up 1
upon 2
upset 1
very 1
victims 1
waiting 1
wants 2
way 1
weatherwax 9
weavall 1
weavalls 1
welcomes 1
what 2
when 1
where 1
which 2
while 2
who 5
will 2
witch 5
witches 2
with 5
world 2
your 1
