1117368
/m/047hzp
/m/047hzp
Roald Dahl
1981
8 1
a 14
about 2
absence 1
after 2
agrees 1
alma 1
along 1
an 1
and 15
animal 1
animals 3
announces 1
are 1
around 1
astounded 1
at 1
attempts 1
attitude 1
back 2
barn 1
be 1
becomes 1
been 1
before 1
bigger 1
boils 1
both 1
boy 1
brewing 1
brown 1
but 2
by 5
can 1
cannot 1
causes 2
chicken 3
collecting 1
company 1
continue 1
cows 1
crane 1
cup 2
cure 1
dark 1
day 2
days 1
demands 1
devastated 1
discovers 1
down 2
drinks 1
edge 1
end 1
ending 1
enjoy 1
enjoys 1
especially 1
events 1
eventually 1
exact 1
excited 1
excitedly 1
exclaims 1
extends 2
failed 1
family 1
farm 3
farms 1
father 3
fed 1
fingertips 1
first 1
food 1
for 5
forced 1
frightened 1
from 2
frost 1
george 9
giant 5
gives 1
go 1
grandma 5
grandmother 1
ground 1
grow 1
grumpiness 1
had 3
hand 1
harmful 1
he 7
hen 2
her 10
him 2
his 4
hoists 1
home 1
hopes 1
hops 1
house 3
however 2
hunger 1
husband 1
in 7
ingredients 1
inside 1
into 1
is 6
it 7
jack 1
kranky 5
later 1
legs 1
lives 2
long 1
lot 1
magical 1
make 1
makes 3
making 2
many 1
medicine 5
mistaking 1
moments 1
most 1
mother 2
mr 3
mrs 3
nannygoat 1
neck 1
next 1
night 1
nothing 1
notices 1
nuisance 1
of 6
on 2
once 1
only 1
other 1
out 1
over 1
overdose 1
pigs 1
pills 1
pony 1
potion 3
product 1
products 1
puts 1
remember 1
removing 1
resulting 2
return 1
sampling 1
saucepan 1
secrets 1
seeks 1
selfishness 1
several 2
she 4
sheep 1
shrink 2
sight 1
since 1
sleep 1
snatches 1
so 1
sold 1
some 1
soon 1
special 1
spoonful 1
starts 1
strolls 1
tall 1
taller 1
tea 2
than 1
that 7
the 24
their 1
them 3
then 3
these 1
they 2
throughout 1
times 1
to 11
together 1
too 1
touched 1
towards 1
tries 1
two 1
unfortunately 1
up 2
used 1
very 1
wanting 1
which 1
who 1
will 1
with 5
world 2
worrying 1
yard 1
yearold 1
