12756557
/m/02x3hn5
/m/02x3hn5
John Jakes
1974
1770 1
6th 1
a 17
abraham 2
accidentally 1
act 1
acts 1
adamantly 1
adams 1
adopt 1
advice 1
affair 2
after 2
again 1
against 1
agent 1
alicia 8
alive 1
allow 1
allowed 2
also 2
amberly 5
amberlys 1
america 3
american 1
an 5
and 43
angered 2
anglicized 1
anne 10
any 1
apprentice 1
army 2
around 1
arrived 2
articles 1
as 3
assigned 1
assist 1
at 7
attacked 2
auvergne 1
badly 1
battle 2
bayonet 1
be 4
beating 1
became 1
because 4
been 1
before 1
began 3
beggars 1
begins 1
believed 1
believing 1
belly 1
benjamin 3
bent 1
betray 1
between 1
body 1
boston 6
boundless 1
boy 3
brawled 1
brewing 1
brief 1
bristol 1
british 6
buried 1
but 9
by 5
chance 1
charboneau 1
charity 1
chavaniac 1
church 1
citizens 1
city 4
claim 4
claimant 1
colonies 1
coming 1
commander 2
company 2
compassion 1
concord 4
confided 1
confronted 1
connection 1
continue 1
continued 2
contributed 1
convince 1
convinced 1
cook 1
cooled 1
corrupt 1
corrupted 1
country 1
courting 1
daisy 3
daisys 1
danger 1
daughter 1
dawes 1
days 1
dead 1
deceased 1
decided 4
decision 1
deeply 1
desert 1
desire 1
destruction 1
determined 1
did 1
died 4
distraught 1
do 1
dream 1
duke 5
dukes 2
during 1
dysentery 1
edes 1
editor 1
eliminate 1
emigrate 1
employed 1
enacted 1
encouraged 1
england 4
esau 1
escaped 1
even 2
family 2
famous 1
farm 3
father 4
fathers 1
feelings 2
fell 1
felt 1
fiance 1
fight 1
finally 2
find 2
firm 1
fled 3
for 10
fortune 1
found 3
france 2
franklin 5
from 4
funds 1
gave 3
gazette 1
george 1
get 1
give 1
given 1
grenadier 1
had 9
half 2
halfbrother 1
hand 2
have 1
having 2
he 23
heartbroken 1
heir 1
henry 1
her 17
hidden 1
him 18
hired 1
his 27
home 2
homeless 1
hoped 1
hopes 1
hoping 1
hosea 1
house 3
however 1
ill 1
illegitimate 1
immediately 1
immense 1
importantly 1
in 16
inform 1
information 1
informed 3
inherit 1
inheritance 2
inherited 2
injuring 1
inn 2
insisted 1
instead 2
intended 1
intentions 1
into 1
introduced 3
is 1
it 4
its 1
james 2
jane 2
job 2
joined 2
journey 1
kent 7
kentland 1
kept 1
killing 1
knew 1
knowing 1
known 1
knox 1
lacking 1
lady 2
later 1
learn 1
leave 2
leaving 1
left 3
legitimate 1
lending 1
letter 1
library 1
life 1
living 1
local 1
london 3
long 1
longer 2
love 2
loved 2
lumden 4
lumdens 2
made 3
make 1
making 1
man 1
marie 9
married 2
marry 3
massachusetts 2
measures 1
met 2
midnight 1
molineux 2
months 1
more 3
mother 4
mud 1
musket 2
name 1
native 1
near 2
never 5
no 2
none 1
not 6
november 1
now 1
number 1
obrian 1
obrians 1
of 17
offered 1
often 1
old 1
on 8
once 2
one 1
only 3
operated 1
opportunities 1
opposed 1
other 1
otherwise 1
over 1
owned 1
paper 1
paris 1
parkhurst 2
participated 2
particularly 1
party 2
passage 1
patriots 1
paul 2
pauls 1
penniless 1
performing 1
philadelphia 3
philip 23
philippe 19
place 1
planned 1
plans 1
port 1
praised 1
prescott 1
printing 1
privately 1
profitable 1
publishing 1
punish 1
quartering 1
ran 1
reached 1
realized 1
received 1
recognize 1
reconsider 1
refused 1
relationship 1
religious 1
remain 1
remained 2
representative 1
required 1
return 2
returned 3
reunion 1
reunited 2
revere 2
ride 1
rightly 1
rival 1
rob 1
roger 10
rogers 2
safe 1
samuel 2
sanctuary 1
saved 2
sea 1
search 1
secret 1
see 3
sergeant 2
settling 1
seventeenyear 1
several 1
sexual 1
she 5
sholto 3
sholtos 1
should 1
situation 2
so 1
soldier 2
solomon 3
solomons 1
some 2
son 6
sons 1
splashing 1
st 1
stabbed 1
stage 1
stake 1
starving 1
stay 2
stayed 1
still 1
story 1
support 1
take 1
taken 2
task 1
tea 2
tell 1
telling 1
tense 1
than 1
that 23
the 53
their 4
them 1
then 4
there 3
these 1
they 9
thinking 1
this 2
though 2
through 2
time 3
to 66
told 4
too 1
torn 1
trade 2
train 1
transatlantic 1
travel 1
treated 1
tried 2
trouble 1
trying 1
under 1
unit 1
until 2
up 2
used 1
validated 1
version 1
violent 1
wanted 3
ware 2
wares 3
warn 1
warned 2
was 29
way 1
wealth 2
went 2
were 6
what 2
when 8
who 9
whom 1
wife 1
william 2
with 16
without 1
word 1
would 4
wounded 1
written 1
years 1
young 1
