1277241
/m/04ph6f
/m/04ph6f
John Gardner
1990-07
{"/m/06wkf": "Spy fiction"}
a 9
abelard 1
about 1
acquired 1
action 1
after 3
agent 1
agents 1
also 1
an 1
and 10
antidote 1
are 1
arrow 1
arrows 1
as 4
assigned 1
attempting 1
barely 1
be 1
because 1
been 2
before 2
behalf 1
being 1
believed 1
between 1
bond 11
books 1
bow 1
bring 1
bringing 1
british 1
brokenclaw 6
but 1
by 10
california 1
challenged 1
chelan 1
chichi 2
china 2
chinese 1
cia 1
codenames 1
collapse 1
columbia 1
comes 1
competition 1
currencies 1
day 1
deformed 1
detailed 1
detection 1
die 1
disaster 1
discovers 1
dollar 1
down 3
dubbed 1
economic 1
ed 1
end 1
escapes 1
evaluate 1
exchange 1
expressing 1
fight 1
forces 1
francisco 1
from 1
frustration 1
fuchu 1
go 1
halfblackfoot 1
halfchinese 1
hand 1
has 1
have 2
he 3
help 1
hideout 1
his 2
hlose 1
in 6
initially 1
instead 1
intelligence 1
into 1
intrigued 1
investigate 1
involve 1
involved 1
is 9
it 1
japanese 1
jericho 1
kidnapping 1
known 3
lack 1
later 1
lee 1
located 1
longterm 1
lords 2
lose 1
m 1
major 1
misses 1
mission 2
mountains 1
naval 1
navy 1
neck 1
new 2
now 1
of 8
off 1
officer 1
okeepa 1
on 4
only 1
operation 1
or 1
ordered 1
orders 1
other 1
over 1
own 1
people 1
peter 1
philanthropist 1
plan 2
plans 1
purchasing 1
raid 1
raided 1
republic 1
resign 1
ritual 1
royal 1
rushia 2
san 1
scheme 1
scientists 1
searching 1
sent 1
several 1
shot 1
simultaneously 1
sparking 1
special 1
started 1
stock 1
submarine 2
sue 1
system 1
take 1
tapping 1
tasked 1
technology 1
that 3
the 18
their 1
this 1
threatens 1
through 1
to 13
torture 1
tracked 1
travels 1
turn 2
two 2
ultimately 1
undercover 1
using 2
vacation 1
victoria 1
was 2
washington 1
were 1
where 3
which 2
while 1
who 3
win 1
with 1
worked 1
working 1
worldwide 2
would 1
yearlong 1
york 1
