2799807
/m/083g6c
/m/083g6c
Jennifer Rowe

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
5th 1
a 11
actually 1
against 1
air 1
all 1
an 1
and 13
answer 1
antidote 3
are 1
as 4
asha 2
asked 1
attached 1
attract 1
away 1
be 2
because 1
been 1
bird 4
bonding 1
brings 1
bury 1
but 2
by 1
cape 2
cavern 1
centre 1
choose 1
chooser 1
clans 1
clear 2
construct 1
create 1
crows 1
crystal 2
death 1
decide 1
discover 1
diving 1
do 1
doss 2
down 1
dying 1
eggs 1
exit 1
exposed 1
falls 1
fear 1
finding 1
finds 1
first 1
fisk 1
flow 1
flower 1
fly 1
for 2
from 6
get 1
gives 1
glint 1
go 1
got 2
grab 2
grabs 1
great 1
greatest 1
hand 2
hands 1
has 1
have 1
he 1
himself 1
his 5
how 1
however 2
in 6
into 1
is 10
island 1
it 6
its 1
jiller 1
keeper 4
kite 2
laying 1
leader 2
learns 1
leeches 3
like 1
line 2
long 1
make 2
maris 2
means 1
messenger 1
mirror 1
moon 1
moonflower 2
mother 2
names 1
near 1
need 1
new 1
news 1
not 2
obvious 1
of 12
once 1
one 1
orin 1
other 1
pain 1
pandellis 1
people 1
plucked 1
poison 1
pool 7
position 1
puts 1
quill 1
receives 1
recipe 1
refuse 1
remembers 1
retrieve 1
riddle 1
rin 3
rowan 8
runs 1
sand 1
sap 1
says 1
scare 1
scarecrows 1
screams 1
sea 1
seaborn 3
second 1
serpent 2
she 1
sights 1
silver 3
since 1
sleep 1
slight 1
some 1
sticks 1
strong 1
swoops 1
tears 1
that 9
the 47
their 2
them 1
themselves 1
then 8
they 11
think 1
this 1
three 1
time 1
to 19
too 1
touches 1
toward 2
towards 1
trees 1
trying 1
tubular 1
turns 1
umbray 1
under 1
use 2
using 1
venom 3
victim 1
wake 1
warring 1
was 1
water 6
well 1
went 1
when 1
where 2
which 1
while 1
will 3
with 2
wound 1
your 1
