1379823
/m/04y0lm
/m/04y0lm
Mark Twain
1873
{"/m/05hgj": "Novel"}
155 1
180 1
1870s 1
40 1
a 24
about 1
acquire 1
acquired 1
action 1
actual 1
adopted 1
adornment 1
adventures 1
affluent 1
afford 1
after 3
age 5
already 1
also 3
american 1
an 3
and 25
another 1
appears 2
are 1
as 5
aspiring 1
associated 1
at 2
attempt 1
attempts 1
autobiography 1
baser 1
be 2
beautiful 2
because 1
become 1
becoming 1
beginning 1
beriah 3
between 1
bills 1
bolton 3
book 4
bookstore 1
born 1
brierly 1
broke 1
broken 2
but 3
by 6
cannot 2
career 1
causing 1
changed 1
chapter 2
character 3
characteristics 1
charming 1
circuit 1
claimant 1
class 1
clerk 1
clever 1
coal 1
colonel 1
comes 1
comic 1
commonly 1
concerns 2
congress 1
congressmen 1
continue 1
contrast 1
conventionally 1
convince 1
cork 1
corruption 2
course 1
cousin 1
crime 1
curse 1
daughter 1
dc 2
destined 1
dies 2
discovers 1
does 1
drawing 1
drifted 1
dubious 1
during 1
early 2
edition 1
efforts 1
eldest 1
end 1
ended 1
engineering 1
enjoy 1
enmeshed 1
enters 1
era 1
escol 2
eternally 2
events 1
examples 1
excess 1
excessive 1
failed 1
fails 2
fall 1
family 3
father 2
fathers 1
federal 1
feminist 1
finally 1
first 1
focuses 1
for 2
forsook 1
fortunes 1
found 1
frenchman 1
from 4
further 1
gaily 1
george 1
getting 1
gild 1
gilded 3
gilding 2
given 1
gives 1
gold 2
golden 1
goodnatured 1
got 1
governing 1
government 1
greed 1
group 1
grow 1
guilty 1
happy 1
has 1
hawkins 6
hawkinses 1
he 4
heart 1
help 2
henry 3
her 3
his 4
hoping 2
however 1
humorous 1
ideal 1
illustrated 1
in 18
include 2
industrialization 1
innocence 1
intent 1
interpretation 1
is 14
it 1
its 1
iv 1
james 1
john 1
journey 1
jury 1
kept 1
kills 1
king 1
lampton 1
land 9
landpurchase 1
last 1
laura 3
lauras 1
lawyer 1
layer 1
leads 1
lecture 1
less 1
life 1
lifelong 1
lily 2
line 1
live 1
lobbyist 1
love 1
lover 1
lust 1
machines 1
main 1
make 1
manner 1
marriage 1
married 1
maternal 1
may 1
meaning 1
men 2
metal 1
micawberlike 1
modeled 1
moneymaking 1
monopolies 1
mr 1
mrs 1
mulberry 1
name 2
named 1
need 1
nevertheless 1
newly 1
not 3
notable 1
novel 5
now 2
objected 1
of 24
on 6
one 1
only 1
optimistic 1
order 1
oreille 1
orey 1
other 1
others 1
over 1
overcome 1
ownership 1
paint 1
parallel 1
parallels 1
parcel 2
passivity 1
patriarch 1
patrique 1
pay 2
pejorative 1
people 1
period 1
persuade 1
pervades 1
philadelphia 1
philip 3
physician 1
place 1
plodding 1
plot 1
political 1
poor 1
presence 1
presumably 1
pretensions 1
promise 1
pronounced 1
prospective 1
prosperous 1
purchase 3
pursue 1
race 1
ready 1
real 1
refined 1
regretting 1
require 1
resist 1
rest 1
rich 2
richest 1
ridiculous 1
rural 1
ruth 3
sale 1
salesman 1
satirizes 2
schemes 1
sections 1
seek 1
selfevidently 1
sell 1
sellers 7
selling 1
senator 1
several 2
shakespeare 1
she 4
si 2
silas 1
sketches 1
skills 1
so 1
social 1
society 2
son 1
speculation 2
spell 1
spirit 1
steamboat 1
sterling 1
stillunimproved 1
story 3
such 1
superficial 1
surveying 1
sympathetic 1
takes 2
taxes 1
tennessee 4
term 1
that 3
the 59
their 6
theme 1
themes 1
then 1
these 1
they 1
thin 1
this 3
through 2
throughout 1
time 1
timely 1
title 3
to 22
too 1
touch 1
toying 1
travels 1
turned 1
twain 8
two 1
unimproved 1
up 2
upon 2
upperclass 1
urban 1
us 2
use 1
very 1
visitors 1
warner 3
was 3
washington 5
wasteful 2
way 1
wealthy 1
well 1
welleducated 1
were 1
when 2
which 1
while 1
who 3
whose 1
wife 1
will 1
wins 1
with 6
wits 1
world 1
worthy 1
would 1
wreck 1
written 3
wrote 2
xxxvi 1
years 1
young 1
