9349898
/m/0285j55
/m/0285j55
Michael Dibdin
1999-09-20
a 11
adds 1
agendas 1
albeit 1
allies 1
always 1
an 1
and 8
anxious 1
are 2
as 3
at 2
aurelio 1
backdoor 1
based 1
be 2
been 1
before 1
behaviour 1
bigger 1
bizarre 1
blood 2
blows 1
both 1
bottom 1
but 1
by 1
catania 1
chieftains 1
clans 1
clues 1
comedy 1
complex 1
computers 1
confrontation 1
confusion 1
cook 1
counterpointed 1
curdling 1
data 1
daughter 1
death 1
deny 1
dibdin 1
died 1
don 1
dreadedhe 1
emotional 1
emotionally 1
end 1
enjoying 1
eventually 1
evocative 1
exhibits 1
family 1
finds 1
fixing 1
flirtation 1
following 1
for 2
forces 1
fugue 1
full 1
getting 1
got 1
hammer 1
happened 1
has 3
he 2
hilarious 1
himself 1
his 2
home 1
honour 1
if 1
in 8
initially 1
interest 1
internal 1
into 2
involved 1
is 9
it 1
job 1
least 1
left 1
liaison 1
life 1
limoni 1
local 1
locked 1
mafia 5
magistrate 1
metal 1
might 1
missing 1
moving 1
murder 1
murky 1
nastily 1
never 1
nondescript 1
not 1
obsessional 1
odd 1
of 12
on 1
outbreaks 1
part 1
paying 1
personal 2
picture 1
places 1
plausible 1
police 1
political 1
posting 1
powerful 2
prestige 1
pursuit 2
quite 1
railway 1
realises 1
recognises 1
reluctant 1
retain 1
returning 1
sent 1
she 1
sicily 2
sidingthe 1
so 1
some 4
someone 3
son 1
squabblings 1
stake 1
starkest 1
state 1
than 1
that 4
the 10
their 1
them 1
there 1
they 1
things 1
this 2
thriller 1
thrown 1
to 5
too 1
tragedy 1
truth 1
unlikely 1
up 2
vestige 1
wagon 1
was 1
were 1
what 1
which 2
who 1
whose 1
will 1
with 3
woman 2
worried 1
would 2
zen 5
