159934
/m/0153j5
/m/0153j5
George Cockcroft
1993-06-07
20 1
a 5
abandonment 1
accept 1
accompanied 1
adversary 1
affairs 1
after 2
alive 1
along 1
an 2
and 7
anything 1
approached 1
are 1
as 1
be 1
become 1
book 3
boss 1
business 1
but 1
by 4
chance 2
change 1
complete 1
convince 1
cousin 1
create 1
daughter 1
dead 1
dice 2
dicechild 1
do 1
does 1
due 1
dull 1
early 1
end 2
eventually 1
ever 1
fact 1
father 5
fbi 2
fiance 2
financed 1
find 1
for 2
gets 1
ghostly 1
grown 1
has 3
have 1
he 9
hears 1
himself 1
hippy 1
his 12
hotshot 1
in 3
indeed 1
intervenes 1
into 1
investigations 1
investor 1
is 6
it 3
larry 3
life 2
live 1
location 1
long 1
luke 2
make 1
man 1
managed 1
market 1
more 1
naturally 1
normal 1
of 5
on 1
or 1
other 1
out 1
overcome 1
own 1
presence 1
pursue 1
put 1
quest 1
rather 1
refuses 1
rejected 1
rest 1
reverence 1
rhinehart 1
round 1
sees 2
set 1
somewhat 1
soon 2
spite 1
stable 1
starts 1
state 1
stock 1
story 1
takes 1
than 1
the 12
this 2
though 1
time 1
to 12
totally 1
trace 1
trying 2
unreformed 1
up 1
views 1
wants 1
way 2
wealthily 1
wed 1
what 1
whether 1
who 3
whole 2
with 1
would 1
years 1
