587841
/m/02st_l
/m/02st_l
John Buchan, 1st Baron Tweedsmuir
1916
{"/m/01jfsb": "Thriller"}
10 1
115 1
17 1
a 32
accepts 1
across 2
adventurous 1
africa 2
after 1
again 1
agrees 1
allegorical 1
allies 1
along 1
also 2
american 2
an 10
ancient 1
and 60
angry 2
antagonise 1
antibritish 1
apparently 1
appeals 1
appears 1
arab 1
arbuthnot 1
are 7
armaments 1
around 1
arrival 2
arrive 1
arrives 2
arriving 1
artillery 1
as 7
asia 1
assisted 1
associated 1
at 3
attacked 1
attempt 1
attend 1
away 1
background 1
band 1
barge 1
barn 1
battle 4
battlefield 1
bay 1
be 3
bearing 1
been 3
before 1
belgrade 1
belongs 1
between 1
bey 5
blenkiron 7
boer 2
book 1
booming 1
brandt 1
break 2
brief 1
british 1
budapest 1
bullivant 5
but 6
by 20
called 1
can 1
cancer 2
captive 1
capture 1
car 2
carries 1
carry 2
carrying 1
cause 1
cellar 1
challenge 1
chance 1
chosen 1
christmas 1
city 1
climax 1
closely 1
clue 4
clues 1
colonel 2
comes 1
comrade 1
connects 1
constantinople 4
contacts 1
containing 1
convalescing 1
cornelis 1
cosy 1
cottage 1
countryside 1
crash 1
cupboard 1
danceroom 1
dancers 1
dancing 1
dangerous 1
danube 1
dawn 1
day 4
dead 1
deal 1
deathbed 1
deduce 1
defence 1
defences 1
deliver 1
delivered 3
der 1
despite 1
destroyed 1
dinner 1
disease 1
down 1
drag 1
dream 2
dressed 1
each 1
earlier 1
east 3
egypt 1
einem 6
else 1
emerald 1
encounters 1
enemies 1
enemy 2
engineer 2
enter 1
entering 1
entertainment 1
entrench 1
enver 2
erzerum 3
erzurum 1
escape 1
escaped 1
eventful 1
exactly 1
exiles 1
falls 1
famed 1
fascinated 1
feelings 1
fending 1
fight 1
fighting 1
find 3
finding 1
flee 2
flees 1
for 4
foreign 1
form 1
friend 1
from 5
gaudian 2
german 3
germans 1
germany 2
give 1
given 1
gives 1
go 1
going 1
good 1
great 1
greenmantle 3
grne 1
half 1
hannau 1
hannay 20
has 14
he 9
head 1
heard 1
hears 2
help 3
helped 1
helper 1
her 3
hero 1
herr 2
hidden 1
hide 1
hilda 3
hill 2
him 9
himself 2
hints 1
his 11
holding 1
horse 1
horses 2
hostages 1
hostelry 1
hotted 1
house 1
identified 1
identity 2
ill 1
illicit 1
impersonate 1
importance 1
important 1
impressed 1
impresses 1
in 21
inadequacy 1
indent 1
india 1
instead 1
intelligence 1
intercepts 1
into 3
introduced 1
investigating 1
is 16
it 2
itching 1
its 1
january 1
john 1
join 1
joins 1
journey 2
just 2
kaiser 1
kasredin 2
killed 2
knocked 1
known 1
later 3
leader 2
learn 1
leaves 1
left 1
lines 2
lisbon 1
locked 1
london 1
lonely 1
long 1
looks 1
loos 1
lost 1
magnificently 1
main 1
make 3
malaria 1
man 1
mantel 1
may 1
means 1
meet 5
meeting 2
meets 1
men 4
met 2
middle 2
mining 1
minor 1
miraculous 1
misgivings 1
mission 1
mob 1
months 1
much 1
muslim 2
mysterious 2
name 1
named 1
netherlands 1
neutral 1
new 2
news 2
next 1
night 1
none 2
north 1
november 2
observer 1
of 24
off 2
office 1
officer 1
old 1
on 17
one 1
only 2
onward 1
opens 1
other 2
out 5
outline 1
over 1
overheard 2
overrun 1
own 3
owns 1
paper 2
party 1
pass 1
peoples 1
performance 1
persuade 1
peter 4
phrase 1
picked 1
picking 1
picks 1
piece 1
pienaar 7
place 1
plan 3
plans 5
play 1
plotting 1
political 1
ponder 1
pool 1
poor 1
posing 1
position 1
powerful 1
previous 1
prison 2
prophet 2
proposes 1
provides 2
pursued 1
rasta 4
reach 2
realise 1
realises 1
reappear 1
received 1
recently 1
recognised 1
recognises 1
recuperated 1
refer 1
refuse 1
region 1
religious 1
rendezvous 2
rescued 2
return 1
reveals 1
revenge 1
ride 2
riding 1
road 1
roadside 1
rooftops 1
room 1
rough 1
route 1
rumours 1
runin 1
russian 1
russians 3
rustchuk 1
safety 1
sandy 11
saucepanlike 1
savour 1
searches 1
seeing 1
seek 1
send 1
senior 1
separated 1
sets 1
she 4
sheet 1
shell 1
sheltered 1
shocked 1
showing 1
sickbed 1
side 3
sinister 1
sir 1
situation 1
slain 1
slip 1
sneak 1
snowbound 1
soldiers 1
some 1
something 1
son 1
spare 1
speed 1
spend 1
spy 1
start 1
staying 1
steal 2
steps 1
stir 1
stolen 1
stop 1
story 1
straight 1
stray 1
stumm 8
summoned 1
sure 1
sweep 1
take 1
taken 1
takes 1
taking 1
task 2
telegram 1
tells 2
terrifying 1
territory 1
than 2
that 9
the 86
their 7
them 6
then 1
there 4
they 29
third 1
thirtynine 1
three 2
through 5
throughout 1
throw 1
till 1
time 1
times 1
title 1
to 37
together 1
top 1
towards 2
town 1
tracked 1
trail 1
train 1
travel 1
travelling 2
turk 2
turkish 2
turks 1
turmoil 1
two 3
ulric 1
up 9
uprising 1
useful 1
using 1
vengeful 1
verge 1
vi 2
via 3
victory 1
vienna 1
visits 1
vivid 1
volunteers 1
von 7
waits 1
walter 1
war 1
way 1
week 1
when 1
where 3
which 2
while 2
who 6
whole 1
wild 3
will 3
with 17
woman 1
words 1
world 2
wornout 1
would 1
wounds 1
young 1
