1047006
/m/041b8r
/m/041b8r
John Birmingham
1994
{"/m/027mvb9": "Biographical novel", "/m/02yq81": "Comic novel"}
10th 1
11th 1
12th 1
13th 1
1st 1
2 1
2nd 1
3 1
3rd 1
40s 1
4th 1
5th 1
6th 1
7nbspft 1
7th 1
8th 1
a 9
about 1
after 5
air 1
aj 1
aka 1
albino 1
all 2
ambushed 1
american 1
an 1
and 17
andy 1
are 1
art 1
as 4
at 3
auchenflower 1
away 1
back 1
backpacker 1
bailiff 1
bald 1
band 1
bank 2
banker 2
be 1
bear 1
became 1
because 1
book 3
boulevade 1
bowls 1
boyfriend 2
brain 1
brainthrust 1
brisbane 3
brown 1
but 1
by 22
came 2
canadian 1
carlton 1
carpenter 1
charlie 1
clear 2
clerk 2
colin 1
collect 1
computer 1
controller 1
corcoran 1
crazy 1
cutting 1
danny 1
darlinghurst 1
dave 1
daves 2
days 1
dead 1
death 1
decoy 1
derek 2
diagnosed 1
dirk 2
doctor 1
downstairs 3
dr 1
driver 3
drummer 1
duffy 1
duke 1
dutch 1
each 1
electrician 1
electricity 1
em 2
emma 1
english 1
ernie 1
escape 1
ever 1
fallout 1
fan 1
farmer 1
fashion 1
fellow 1
fitzroy 3
flatmate 1
follows 2
fondness 1
for 4
former 1
four 1
free 1
freeze 1
friend 2
friends 1
from 2
garage 1
gas 1
gay 1
gina 1
giovanna 1
girl 1
girlfriend 1
girls 1
gives 1
going 1
good 1
got 1
goth 2
goths 1
greg 2
gun 2
guy 1
harry 1
having 1
he 2
her 4
hiding 1
him 1
hippy 1
his 6
homer 1
hooper 1
hour 1
house 7
housemate 1
housemates 1
houses 1
how 1
however 1
howie 1
hutt 1
if 1
in 25
into 1
invisible 1
is 5
issues 1
it 2
ivan 2
jabba 1
jeffrey 1
jeremy 1
jimbo 1
john 10
jonathan 1
journalist 1
junkie 2
keeps 1
keith 1
kevin 1
kill 1
kim 1
king 1
kippax 1
last 1
lasted 3
later 1
leaves 1
leaving 1
leonard 1
less 1
linear 1
live 1
lived 4
lives 1
loft 1
londoner 1
loud 1
luke 1
macgyver 1
made 1
malcolm 1
margot 1
martin 4
mates 1
mcgann 1
med 1
mel 1
melbourne 1
melissa 1
mick 1
mid 1
milo 1
moontanner 1
mosman 1
move 6
moved 8
moves 16
much 1
mushroom 1
musician 1
neal 1
neals 1
new 4
nigel 1
nina 5
no 1
not 3
nurse 1
of 5
off 1
on 1
one 2
order 1
other 2
out 13
paranoid 1
paul 1
personal 1
phd 1
pj 2
place 14
possibly 1
printer 1
programmer 1
prostitutes 1
proto 1
psychotic 1
quiet 1
rasta 1
ray 1
real 1
reason 1
reasons 1
relationship 1
rent 1
replace 1
replaced 21
result 1
ron 1
room 1
round 2
rowan 1
run 1
same 1
san 1
santanic 1
satomi 1
satvia 2
saw 2
schizo 1
school 1
segues 1
sessions 1
sex 1
she 1
sleeps 2
slovenian 1
smoker 1
some 1
stacey 1
start 1
starts 1
stated 1
stepan 1
sticks 1
street 3
student 1
suit 1
sydney 1
tammy 1
tanya 3
taxi 3
taylor 4
teacher 1
tent 1
th 1
than 1
that 1
the 58
them 1
then 2
they 2
this 3
threats 1
three 2
thunderbird 1
tiger 1
tim 1
time 3
to 10
told 1
tom 3
too 1
toy 1
traffic 1
trying 1
unpaid 1
up 1
upstairs 1
uptight 2
veronica 1
vet 2
via 1
victor 1
wargamer 1
warren 1
was 4
washerwoman 1
wayne 1
week 1
weekly 1
weeks 3
wendell 1
wendells 1
when 3
while 1
who 8
whole 1
with 8
within 1
would 1
written 1
yoko 1
