1440016
/m/051r24
/m/051r24
Haruki Murakami
1985
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 14
accept 1
accepted 1
achieved 1
alfred 1
allowed 1
alone 1
although 3
an 3
anachronistic 1
and 11
anywhere 1
are 2
as 5
aspects 1
assigned 1
assignment 1
assisted 1
at 1
back 1
be 1
beasts 1
becomes 1
been 3
before 1
behind 1
being 2
between 2
birnbaum 1
boku 1
both 1
by 3
calcutec 1
calcutecs 2
chapters 2
cold 1
completes 1
concepts 1
consciousness 1
control 1
converge 1
created 1
criminal 1
current 1
cut 1
data 2
day 1
deal 1
delves 1
depicted 1
die 1
different 1
discovers 1
do 1
dreamreader 1
dreams 1
during 1
effect 1
enclosure 1
encryption 1
end 4
english 1
escape 2
even 1
evening 1
evennumbered 1
eventually 1
every 1
evident 1
exist 1
expected 1
exploring 2
factory 1
fallen 1
firstperson 1
for 3
forever 1
formal 1
from 3
frontispiece 1
generally 1
goes 2
gradually 1
grounds 1
groups 1
grows 1
half 1
hardboiled 3
has 4
have 2
he 11
headers 1
hidden 1
himself 1
his 7
human 1
identity 1
impenetrable 1
in 13
incorrectly 1
inside 1
intended 1
intimate 1
into 2
is 12
isolated 1
it 6
japanese 1
job 1
key 1
knows 1
laboratory 1
later 1
learns 2
leaves 2
librarian 2
library 1
lives 1
love 1
man 1
many 1
map 1
might 1
mind 5
more 2
mysterious 1
narrative 1
narratives 1
narrator 8
newcomer 1
night 1
not 4
oddnumbered 1
of 15
off 1
on 1
one 1
only 3
opposed 1
or 2
original 1
out 1
page 1
parallel 1
passively 1
password 1
perfect 1
phrase 1
place 1
plans 1
present 1
process 2
processorencryption 1
pronoun 1
protects 1
putting 1
quarters 1
quasigovernmental 1
read 1
refer 1
referred 1
relationship 1
removal 1
remove 1
residents 1
role 1
scientist 1
secrets 1
sections 1
semiotecs 2
sent 1
sewer 1
shadow 6
similar 1
simple 1
skulls 1
sound 1
split 1
steal 1
story 1
storylines 1
strange 1
subconscious 4
suggested 1
suppressed 1
surrounded 1
survive 1
system 4
take 1
tense 1
text 1
that 4
the 60
their 2
these 1
this 2
to 17
tokyo 1
town 9
traces 1
trained 1
translator 1
transpires 1
two 2
unconscious 1
unicorns 1
use 1
used 1
uses 2
version 1
wall 1
walled 1
watashi 1
where 3
while 2
who 4
winter 2
with 2
within 1
wonderland 3
word 1
work 2
works 1
world 7
