5426818
/m/0dld9q
/m/0dld9q
Rebecca Levene

{"/m/014dfn": "Speculative fiction"}
a 3
adventure 1
adventures 1
and 2
angels 1
arc 1
are 1
as 1
been 1
being 1
bernice 1
by 1
closer 1
commissioned 1
dellah 1
deputy 1
editor 1
fear 2
final 1
for 1
from 1
gods 1
had 1
handed 1
her 2
home 1
in 1
investigation 1
is 1
it 1
latterly 1
learning 1
levene 2
literally 1
major 1
movement 2
new 3
of 5
once 1
over 1
overrun 1
place 1
planet 1
powers 1
ran 1
religious 1
reveals 1
running 1
said 1
sets 1
some 1
story 1
successor 1
that 1
the 5
then 1
through 1
to 2
twilight 1
universe 1
up 1
was 1
where 1
winstone 2
with 1
years 1
