13204430
/m/03byth0
/m/03byth0
Wendy Mass
2003-04-16
5year 1
a 24
able 2
about 7
accepts 1
access 1
according 1
actually 1
adam 9
admit 1
after 5
again 2
allows 1
almost 1
alone 1
already 1
also 1
although 1
always 1
an 3
and 32
angry 4
animal 1
another 1
any 2
apologizes 1
apologizing 1
appears 1
appointment 3
are 5
as 4
asked 1
asks 1
at 8
be 6
because 5
becomes 2
been 2
before 3
being 1
believes 3
believing 1
beloved 1
best 1
better 1
billy 2
boy 4
boyfriend 1
breathing 1
bursts 1
but 6
by 2
call 2
called 1
cancer 1
cannot 1
cared 1
case 1
cat 1
caused 1
chalk 1
child 1
classmates 1
color 1
colored 1
colors 6
come 1
condition 5
confused 1
connected 1
constantly 2
convinces 1
copes 1
could 4
crumple 1
dad 1
day 4
deadly 1
death 1
decides 2
deep 1
denies 1
didnt 1
die 1
died 1
dies 2
different 2
disappear 1
disease 1
do 2
does 1
dr 2
during 3
each 1
email 2
emails 2
ends 1
even 2
eventually 1
everyone 2
experience 1
experiences 1
explains 1
eyes 2
failing 1
family 1
fate 1
father 2
fault 1
feels 1
few 1
fight 1
finally 1
find 1
finds 4
finn 2
first 1
fit 1
fly 1
food 1
for 9
forced 1
forgets 2
form 1
friend 1
friendsabout 1
from 3
front 1
fun 2
funeral 1
gentlemanly 1
get 1
gets 2
give 1
go 2
going 1
grandfather 4
grandpa 1
gravely 1
grey 1
grocery 2
guilty 1
had 1
hand 1
hands 1
hanukkah 1
has 6
have 3
he 9
hearing 1
heavy 1
helicopter 1
help 2
henkle 2
her 56
him 10
his 8
home 1
hospital 1
if 4
imagination 2
in 9
incident 1
interact 1
interacting 1
interest 1
into 3
invites 1
inviting 1
is 19
it 9
jenna 7
jerk 1
just 1
keeps 1
kill 1
kimberlyone 1
kiss 1
kisses 1
kissing 3
kitten 5
known 1
late 1
later 2
leave 1
left 2
life 1
like 2
likes 2
lining 1
little 1
living 1
lungs 1
magnificat 1
make 1
making 1
mango 13
math 2
meanwhile 1
medicine 1
meeting 5
meets 1
meows 1
met 1
mia 30
middle 2
miss 2
missed 1
mom 1
mother 4
move 1
mustard 1
name 1
named 3
names 1
need 1
neurologist 3
never 1
next 2
nice 1
night 3
no 1
not 4
now 1
numbers 2
obsessed 1
obviously 1
of 13
offer 1
old 1
older 1
on 1
once 1
one 5
only 2
or 1
orange 3
other 2
out 2
outside 2
overactive 1
parents 1
part 1
party 1
passes 1
pediatrician 1
people 1
phishemiasmosis 1
pills 1
planning 1
preoccupied 1
print 1
problem 1
prologue 1
psychotherapist 2
purple 1
quickly 1
quizzes 1
randolph 2
realizes 3
really 2
received 1
recommends 1
referring 1
regretted 1
repaired 1
retorts 1
return 1
ridicule 1
rip 1
roger 1
room 1
same 1
saw 1
saying 3
says 2
school 3
seasons 1
second 1
secret 1
see 1
seeing 1
seemed 1
sees 2
senses 1
sets 1
shades 1
shape 1
share 1
shares 1
she 43
shocked 1
short 1
should 2
shows 1
sick 2
sight 1
silly 1
smell 1
so 1
someone 2
sometime 1
soon 3
sorry 1
soul 1
start 1
still 2
stop 1
store 2
stories 1
stripes 1
such 1
suggests 1
syndrome 1
synesthesia 5
synesthete 1
synesthetes 2
synesthetic 1
takes 2
taking 2
teacher 1
tears 1
telling 2
tells 7
temporarily 1
than 2
that 21
the 29
their 2
them 1
then 3
there 1
they 1
thinks 1
thirdgrade 1
this 1
though 2
thought 1
three 1
time 1
to 37
told 1
too 2
touch 1
traumatized 1
twelve 1
two 3
uneaten 1
up 5
uses 1
value 1
very 2
visits 3
wakes 1
walk 3
wanted 1
was 7
way 1
website 1
weeks 1
well 1
wellknown 1
what 2
wheezes 1
wheezing 1
when 8
where 1
which 4
while 1
white 1
who 8
wishes 1
with 14
wonders 1
worried 1
would 1
wrong 1
year 1
years 1
yellow 2
yes 2
young 1
your 2
